"Small Business Profiles : Total revenue and selected other revenue variables,  Canada, regions and provinces/territories, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source : Statistics Canada, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note : Values are averages in current dollars ( x $1,000) unless otherwise indicated. Data includes entrprises reporting annual total revenues of $30,000 to $5,000,000, inclusively. Calculations are profit margin based.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* : Available for incorporated businesses only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,"North American Industry Classification System, NAICS - code","North American Industry Classification System, NAICS",Geography - code,Geography,Location indicator - code,Location indicator,Incorporation status - code,Incorporation status,Reference year,Total number of businesses,"All businesses, minimum revenue value","All businesses, maximum revenue value","Businesses in first quartile, minimum value in revenue range","Businesses in first quartile, maximum value in revenue range","Businesses in second quartile, minimum value in revenue range","Businesses in second quartile, maximum value in revenue range","Businesses in third quartile, minimum value in revenue range","Businesses in third quartile, maximum value in revenue range","Businesses in fourth quartile, minimum value in revenue range","Businesses in fourth quartile, maximum value in revenue range",Total revenue,"Total revenue, quality indicator","Total revenue, first quartile","Total revenue, second quartile","Total revenue, third quartile","Total revenue, fourth quartile",Sales of goods and services*,"Sales of goods and services* , quality indicator","Sales of goods and services* , first quartile","Sales of goods and services* , second quartile","Sales of goods and services* , third quartile","Sales of goods and services* , fourth quartile","Sales of goods and services*  , percent of businesses reporting",All other revenues*,"All other revenues* , quality indicator","All other revenues* , first quartile","All other revenues* , second quartile","All other revenues* , third quartile","All other revenues* , fourth quartile","All other revenues* , percent of businesses reporting",Sales of goods and services* ( percent of total revenue),"Sales of goods and services* ( percent of total revenue), quality indicator","Sales of goods and services* ( percent of total revenue), first quartile","Sales of goods and services* ( percent of total revenue), second quartile","Sales of goods and services* ( percent of total revenue), third quartile","Sales of goods and services* ( percent of total revenue), fourth quartile",All other revenues* ( percent of total revenue),"All other revenues* ( percent of total revenue), quality indicator","All other revenues* ( percent of total revenue), first quartile","All other revenues* ( percent of total revenue), second quartile","All other revenues* ( percent of total revenue), third quartile","All other revenues* ( percent of total revenue), fourth quartile"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,All industries,0,Canada,1,Rural,1,Unincorporated,2017,112086,..,1,..,0.139,0.139,0.369,0.369,0.657,0.657,1,130.5,A,200.9,147.3,95,78.9,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
2,0,All industries,0,Canada,1,Rural,2,Incorporated,2017,193262,..,1,..,-0.039,-0.039,0.059,0.059,0.239,0.239,1,622.1,A,577.9,813.9,714.9,381.5,575.8,A,536.9,773.2,680.8,312.5,91.6,46.2,B,41.1,40.7,34.1,69.1,53.6,92.6,A,92.9,95,95.2,81.9,7.4,B,7.1,5,4.8,18.1
3,0,All industries,0,Canada,1,Rural,3,All businesses,2017,305348,..,1,..,0,0,0.14,0.14,0.431,0.431,1,441.6,A,532.1,710.1,352.9,171.4,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
4,0,All industries,0,Canada,2,Urban,1,Unincorporated,2017,596808,..,1,..,0.222,0.222,0.464,0.464,0.713,0.713,1,115.4,A,169.7,109.8,87.2,95.1,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
5,0,All industries,0,Canada,2,Urban,2,Incorporated,2017,1002456,..,1,..,-0.002,-0.002,0.089,0.089,0.338,0.338,1,566.9,A,467.4,802.4,615.9,381.8,502,A,415.1,749.3,559.6,283.9,87.7,64.9,B,52.2,53.1,56.3,97.9,41.1,88.6,A,88.8,93.4,90.9,74.3,11.4,B,11.2,6.6,9.1,25.7
6,0,All industries,0,Canada,2,Urban,3,All businesses,2017,1599264,..,1,..,0.022,0.022,0.21,0.21,0.542,0.542,1,398.4,A,492.4,632.3,275.1,193.8,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
7,0,All industries,15,Altantic,1,Rural,1,Unincorporated,2017,17112,..,1,..,0.137,0.137,0.375,0.375,0.69,0.69,1,134.5,A,195.3,145.8,118.2,78.7,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
8,0,All industries,15,Altantic,1,Rural,2,Incorporated,2017,20348,..,1,..,-0.016,-0.016,0.055,0.055,0.208,0.208,1,645.5,A,494,900.3,745.5,442.3,607.3,A,461,869.2,713.8,385.1,91.9,38.2,B,33,31.1,31.7,57.1,44.6,94.1,A,93.3,96.5,95.7,87.1,5.9,B,6.7,3.5,4.3,12.9
9,0,All industries,15,Altantic,1,Rural,3,All businesses,2017,37460,..,1,..,0.014,0.014,0.155,0.155,0.465,0.465,1,412.1,A,517.8,658.4,311.6,160.5,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
10,0,All industries,15,Altantic,2,Urban,1,Unincorporated,2017,19314,..,1,..,0.156,0.156,0.419,0.419,0.71,0.71,1,122.2,A,166.9,134,95.7,92,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
11,0,All industries,15,Altantic,2,Urban,2,Incorporated,2017,36953,..,1,..,-0.002,-0.002,0.08,0.08,0.315,0.315,1,615.4,A,488.4,892,708.8,372.4,550.9,A,427.9,833.3,647.4,295.1,87.4,64.5,B,60.5,58.7,61.4,77.4,43,89.5,A,87.6,93.4,91.3,79.2,10.5,B,12.4,6.6,8.7,20.8
12,0,All industries,15,Altantic,2,Urban,3,All businesses,2017,56267,..,1,..,0.011,0.011,0.161,0.161,0.512,0.512,1,446.1,A,488.3,753.5,346.6,196,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
13,0,All industries,10,Newfoundland and Labrador,1,Rural,1,Unincorporated,2017,4675,..,1,..,0.14,0.14,0.432,0.432,0.871,0.871,1,108.8,A,176,109.7,82,67.7,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
14,0,All industries,10,Newfoundland and Labrador,1,Rural,2,Incorporated,2017,4407,..,1,..,-0.024,-0.024,0.026,0.026,0.123,0.123,1,669.7,A,387.5,911.3,830.4,549.4,630.9,A,360,881,792.2,490.2,91.1,38.8,B,27.5,30.3,38.2,59.1,38.1,94.2,A,92.9,96.7,95.4,89.2,5.8,B,7.1,3.3,4.6,10.8
15,0,All industries,10,Newfoundland and Labrador,1,Rural,3,All businesses,2017,9082,..,1,..,0.005,0.005,0.135,0.135,0.528,0.528,1,381,A,442,712.6,272.2,97.2,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
16,0,All industries,10,Newfoundland and Labrador,2,Urban,1,Unincorporated,2017,3583,..,1,..,0.191,0.191,0.523,0.523,0.793,0.793,1,129.5,A,168.4,128.5,107,114.1,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
17,0,All industries,10,Newfoundland and Labrador,2,Urban,2,Incorporated,2017,7334,..,1,..,-0.015,-0.015,0.041,0.041,0.198,0.198,1,649.2,A,436.7,870.7,794.1,495.1,586,A,387.2,824.2,741.4,391.2,88.4,63.2,B,49.6,46.5,52.7,103.9,41.5,90.3,A,88.6,94.7,93.4,79,9.7,B,11.4,5.3,6.6,21
18,0,All industries,10,Newfoundland and Labrador,2,Urban,3,All businesses,2017,10917,..,1,..,0,0,0.108,0.108,0.468,0.468,1,478.6,A,483.2,771.1,455.6,204.4,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
19,0,All industries,11,Prince Edward Island,1,Rural,1,Unincorporated,2017,1975,..,1,..,0.218,0.218,0.42,0.42,0.626,0.626,1,153.2,A,176.5,162.9,169,104.5,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
20,0,All industries,11,Prince Edward Island,1,Rural,2,Incorporated,2017,1614,..,1,..,-0.033,-0.033,0.047,0.047,0.195,0.195,1,754.1,A,821.4,883.2,888.3,423.6,712.9,A,761.8,845.7,856,388.3,93.1,41.2,B,59.6,37.5,32.4,35.3,61,94.5,A,92.7,95.8,96.4,91.7,5.5,B,7.3,4.2,3.6,8.3
21,0,All industries,11,Prince Edward Island,1,Rural,3,All businesses,2017,3589,..,1,..,0.029,0.029,0.237,0.237,0.508,0.508,1,423.5,A,696.8,604.8,225,167.2,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
22,0,All industries,11,Prince Edward Island,2,Urban,1,Unincorporated,2017,1465,..,1,..,0.151,0.151,0.38,0.38,0.65,0.65,1,125,A,162.3,152.3,97.8,87.7,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
23,0,All industries,11,Prince Edward Island,2,Urban,2,Incorporated,2017,2437,..,1,..,-0.002,-0.002,0.071,0.071,0.243,0.243,1,624.1,A,477.5,841,783.4,394.3,544.1,A,416.4,748.6,711.9,299.6,83.3,79.9,B,61.1,92.3,71.6,94.7,51,87.2,A,87.2,89,90.9,76,12.8,B,12.8,11,9.1,24
24,0,All industries,11,Prince Edward Island,2,Urban,3,All businesses,2017,3902,..,1,..,0.014,0.014,0.144,0.144,0.457,0.457,1,436.7,A,457.3,757.7,348.3,183.4,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
25,0,All industries,12,Nova Scotia,1,Rural,1,Unincorporated,2017,6119,..,1,..,0.134,0.134,0.374,0.374,0.69,0.69,1,140.2,A,205.2,158,117.8,79.7,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
26,0,All industries,12,Nova Scotia,1,Rural,2,Incorporated,2017,7507,..,1,..,0.003,0.003,0.097,0.097,0.3,0.3,1,596.6,A,520.4,898.2,636.1,331.5,560.6,B,486,871.2,603.3,282,92.3,35.9,B,34.4,27.1,32.7,49.5,44.2,94,B,93.4,97,94.9,85.1,6,B,6.6,3,5.1,14.9
27,0,All industries,12,Nova Scotia,1,Rural,3,All businesses,2017,13626,..,1,..,0.032,0.032,0.196,0.196,0.507,0.507,1,391.6,A,533.8,584.2,296.7,151.7,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
28,0,All industries,12,Nova Scotia,2,Urban,1,Unincorporated,2017,8684,..,1,..,0.164,0.164,0.424,0.424,0.71,0.71,1,120.1,A,176.6,124.8,92.5,86.4,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
29,0,All industries,12,Nova Scotia,2,Urban,2,Incorporated,2017,15410,..,1,..,0.004,0.004,0.116,0.116,0.432,0.432,1,599.8,A,545.4,939.4,602.4,311.9,536.5,A,475.2,875.1,545,250.8,87.4,63.3,B,70.3,64.3,57.4,61.1,41.4,89.5,A,87.1,93.2,90.5,80.4,10.5,B,12.9,6.8,9.5,19.6
30,0,All industries,12,Nova Scotia,2,Urban,3,All businesses,2017,24094,..,1,..,0.029,0.029,0.213,0.213,0.571,0.571,1,426.9,A,537.4,699.6,283.7,186.7,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
31,0,All industries,13,New Brunswick,1,Rural,1,Unincorporated,2017,4343,..,1,..,0.117,0.117,0.31,0.31,0.574,0.574,1,145.7,A,211,154,123.5,94.1,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
