"Small Business Profiles :  Financial ratios,  unincorporated and total businesses, Canada, regions and provinces/territories, 2017",,,,,,,,,,,,,,,,,,,
"Source : Statistics Canada, 2017",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Note : Values are averages in current dollars ( x $1,000) unless otherwise indicated. Data includes entrprises reporting annual total revenues of $30,000 to $5,000,000, inclusively. Calculations are profit margin based.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ID,"North American Industry Classification System, NAICS - code","North American Industry Classification System, NAICS",Geography - code,Geography,Location indicator - code,Location indicator,Incorporation status - code,Incorporation status,Reference year,Interest coverage ratio (times),"Interest coverage ratio (times), first quartile","Interest coverage ratio (times), second quartile","Interest coverage ratio (times), third quartile","Interest coverage ratio (times), fourth quartile",Gross margin (%),"Gross margin (%), first quartile","Gross margin (%), second quartile","Gross margin (%), third quartile","Gross margin (%), fourth quartile"
,,,,,,,,,,,,,,,,,,,
1,0,All industries,0,Canada,1,Rural,1,Unincorporated,2017,15.8,2,12.9,32.9,206.3,71,49.7,71.9,91.2,99
2,0,All industries,0,Canada,1,Rural,3,All businesses,2017,4.9,-5.4,5.7,16.7,67.5,67.4,73,51.1,77.1,97.3
3,0,All industries,0,Canada,2,Urban,1,Unincorporated,2017,15.2,2.2,13.1,56.8,527.5,82.2,63.8,85.2,95.2,99.5
4,0,All industries,0,Canada,2,Urban,3,All businesses,2017,8.8,-3.6,8.1,20.1,122.4,65,51.3,56,86.2,98.7
5,0,All industries,15,Altantic,1,Rural,1,Unincorporated,2017,21.7,2.2,14.8,39.3,404.4,77.2,52.6,82.1,96.7,99.7
6,0,All industries,15,Altantic,1,Rural,3,All businesses,2017,8.5,-3.6,7,20.1,91.1,62,53.2,50.8,81.7,98.3
7,0,All industries,15,Altantic,2,Urban,1,Unincorporated,2017,18,1.9,12.3,55.6,520.3,79.8,58.8,81.5,95.1,99.6
8,0,All industries,15,Altantic,2,Urban,3,All businesses,2017,7.2,-2.6,5.9,15.1,126.2,64.4,54.1,53.5,83.1,98.9
9,0,All industries,10,Newfoundland and Labrador,1,Rural,1,Unincorporated,2017,26.7,1.6,18,123,1758.9,78,52.3,90.1,98.7,100
10,0,All industries,10,Newfoundland and Labrador,1,Rural,3,All businesses,2017,7.6,-3.4,6.4,17.9,112.1,56.6,47.1,46,84.6,99.5
11,0,All industries,10,Newfoundland and Labrador,2,Urban,1,Unincorporated,2017,24.9,2.2,17,135.6,791.2,85.3,63.9,88.9,99,99.9
12,0,All industries,10,Newfoundland and Labrador,2,Urban,3,All businesses,2017,6.6,-4.5,4.3,12.3,95.6,63.6,52,52.1,79.6,99.1
13,0,All industries,11,Prince Edward Island,1,Rural,1,Unincorporated,2017,18.4,3.8,13.7,24.8,87.1,86.8,63.5,91.6,98.6,99.4
14,0,All industries,11,Prince Edward Island,1,Rural,3,All businesses,2017,5.5,-4,9.8,18.5,49.9,69.9,68.6,55.4,90.7,99.4
15,0,All industries,11,Prince Edward Island,2,Urban,1,Unincorporated,2017,13.9,1.9,9.3,25.9,256.6,79.3,60.3,79.9,92.5,98.8
16,0,All industries,11,Prince Edward Island,2,Urban,3,All businesses,2017,6.3,-5,5.7,12.4,57.8,64.4,54.7,54.6,80.9,98.1
17,0,All industries,12,Nova Scotia,1,Rural,1,Unincorporated,2017,21.9,2.3,14.4,41.6,484.2,74.8,50.5,78.2,95.6,99.6
18,0,All industries,12,Nova Scotia,1,Rural,3,All businesses,2017,11,-3.7,9.2,24.8,113.9,63.7,49.5,56.3,86.3,98.4
19,0,All industries,12,Nova Scotia,2,Urban,1,Unincorporated,2017,16.2,2,11.3,51.4,498.1,77.6,55.5,80.6,95.3,99.6
20,0,All industries,12,Nova Scotia,2,Urban,3,All businesses,2017,6.9,-1.8,7.1,17.6,205.3,65.7,53.7,57.2,87.5,99.2
21,0,All industries,13,New Brunswick,1,Rural,1,Unincorporated,2017,20.1,2.1,13.5,35.4,191,75.1,52.3,77.2,93.4,99
22,0,All industries,13,New Brunswick,1,Rural,3,All businesses,2017,7.9,-3.3,4.8,15.5,79.9,61.5,58.6,46.6,71.7,96.7
23,0,All industries,13,New Brunswick,2,Urban,1,Unincorporated,2017,18.2,1.5,13.1,63.3,461.2,79.5,61.4,79,92.2,99.3
24,0,All industries,13,New Brunswick,2,Urban,3,All businesses,2017,8.3,-2.1,5.5,16.1,104.5,63.2,54,50.6,79.2,98.4
25,0,All industries,24,Québec,1,Rural,1,Unincorporated,2017,14.7,1.9,11.3,39.8,338.3,70.2,47.9,73.1,91.4,98.6
26,0,All industries,24,Québec,1,Rural,3,All businesses,2017,5.4,-4.7,4.9,13.5,66.8,62,66.6,46.5,71.1,96.7
27,0,All industries,24,Québec,2,Urban,1,Unincorporated,2017,12.4,1.8,9.4,50.7,643.9,83.5,65.6,87.3,95.2,99.5
28,0,All industries,24,Québec,2,Urban,3,All businesses,2017,7.6,-2.2,7.3,16.7,144.4,61.4,46.4,54.1,86.1,98.9
29,0,All industries,35,Ontario,1,Rural,1,Unincorporated,2017,15.6,1.8,12.5,28.7,167.7,66,46,63.2,85,98.1
30,0,All industries,35,Ontario,1,Rural,3,All businesses,2017,5.6,-4.3,6.7,17.6,62.8,62.6,67.1,47.9,70.3,96.1
31,0,All industries,35,Ontario,2,Urban,1,Unincorporated,2017,17.4,2.4,15.4,61,469,81.8,62.6,85,95.2,99.4
32,0,All industries,35,Ontario,2,Urban,3,All businesses,2017,9.9,-3.5,8.5,22.6,127.1,65.6,52.4,56,85.5,98.5
33,0,All industries,49,Prairies,1,Rural,1,Unincorporated,2017,13.7,1.8,12.5,26.8,171.1,73.1,53.2,76.2,92.9,99.6
34,0,All industries,49,Prairies,1,Rural,3,All businesses,2017,2.5,-7.6,4.1,15.9,58,77.2,86.9,59.7,82.4,97.8
35,0,All industries,49,Prairies,2,Urban,1,Unincorporated,2017,14.1,2,14.8,68.8,641.6,83.5,66.5,85.7,95.6,99.6
36,0,All industries,49,Prairies,2,Urban,3,All businesses,2017,8.2,-5.1,7.4,21.6,115.5,67.8,55.5,58.4,87.2,98.9
37,0,All industries,46,Manitoba,1,Rural,1,Unincorporated,2017,15.2,1.9,14.4,28.7,155.4,68.9,48,72.9,89.2,98.9
38,0,All industries,46,Manitoba,1,Rural,3,All businesses,2017,2.2,-6,4.7,16.8,57,72.2,83.7,54.2,76.2,96.5
39,0,All industries,46,Manitoba,2,Urban,1,Unincorporated,2017,16.5,2.5,15,60.8,546.7,78.5,59.9,82,94.5,99.6
40,0,All industries,46,Manitoba,2,Urban,3,All businesses,2017,9.6,-2.9,7.9,22.9,131.9,65,55.7,54.9,84.9,98.9
41,0,All industries,47,Saskatchewan,1,Rural,1,Unincorporated,2017,15.3,1.9,12.9,32.4,329.3,71.3,50.7,76.2,94.6,99.9
42,0,All industries,47,Saskatchewan,1,Rural,3,All businesses,2017,-0.3,-9,2.4,16,68.3,82.6,95.8,66.1,81.1,98.1
43,0,All industries,47,Saskatchewan,2,Urban,1,Unincorporated,2017,13.5,1.8,16.8,63.7,442.1,81.5,64.2,84.2,95,99.6
44,0,All industries,47,Saskatchewan,2,Urban,3,All businesses,2017,8.1,-3.6,8.7,22.2,142.6,69,59.9,59.7,88.1,99.2
45,0,All industries,48,Alberta,1,Rural,1,Unincorporated,2017,12.2,1.7,11,23.1,167.8,77.4,59.3,78.3,94.1,99.5
46,0,All industries,48,Alberta,1,Rural,3,All businesses,2017,4.2,-7.3,4.4,15.9,54.8,76,80.4,60.2,84.7,98
47,0,All industries,48,Alberta,2,Urban,1,Unincorporated,2017,13.6,1.8,14.1,73.8,748.9,86.4,70.7,87.4,95.9,99.7
48,0,All industries,48,Alberta,2,Urban,3,All businesses,2017,7.9,-5.8,7.2,21.2,107.9,68.2,54.5,59,87.5,98.8
49,0,All industries,59,British Columbia,1,Rural,1,Unincorporated,2017,16.4,2.4,15.6,35.7,259.7,72.6,53.5,71.2,89.5,98.9
50,0,All industries,59,British Columbia,1,Rural,3,All businesses,2017,10.9,-3.4,10.3,24,90.3,63.2,51.2,55.5,81.2,97.4
51,0,All industries,59,British Columbia,2,Urban,1,Unincorporated,2017,15.1,2.7,13.1,53.6,441.5,81.1,63.5,83.4,94.9,99.4
52,0,All industries,59,British Columbia,2,Urban,3,All businesses,2017,9.1,-4.3,9.8,20.1,108.7,64.8,49.7,56.9,87.5,98.8
53,0,All industries,63,Territories,1,Rural,1,Unincorporated,2017,17,0.7,10.9,25.4,464,76.7,51.5,79.5,92.9,99.3
54,0,All industries,63,Territories,1,Rural,3,All businesses,2017,1.5,-0.7,4.4,15.5,46.8,65.6,62.5,54.6,78.2,97.1
55,0,All industries,63,Territories,2,Urban,1,Unincorporated,2017,24.4,3.8,18.3,43.5,502.7,76.7,57.8,76.9,91.7,99.3
