"Small Business Profiles : Selected profitable or non-profitable businesses items, Canada, regions and provinces/territories, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source : Statistics Canada, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note : Values are averages in current dollars ( x $1,000) unless otherwise indicated. Data includes entrprises reporting annual total revenues of $30,000 to $5,000,000, inclusively. Calculations are profit margin based.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,"North American Industry Classification System, NAICS - code","North American Industry Classification System, NAICS",Geography - code,Geography,Location indicator - code,Location indicator,Incorporation status - code,Incorporation status,Reference year,Percent of profitable businesses,Profitable : Total Revenue,"Profitable : Total Revenue, quality indicator","Profitable : Total Revenue, first quartile","Profitable : Total Revenue, second quartile","Profitable : Total Revenue, third quartile","Profitable : Total Revenue, fourth quartile",Profitable : Total Expenses,"Profitable : Total Expenses, quality indicator","Profitable : Total Expenses, first quartile","Profitable : Total Expenses, second quartile","Profitable : Total Expenses, third quartile","Profitable : Total Expenses, fourth quartile",Profitable : Net Profit,"Profitable : Net Profit, quality indicator","Profitable : Net Profit, first quartile","Profitable : Net Profit, second quartile","Profitable : Net Profit, third quartile","Profitable : Net Profit, fourth quartile",Non-profitable : Total Revenue,"Non-profitable : Total Revenue, quality indicator","Non-profitable : Total Revenue, first quartile","Non-profitable : Total Revenue, second quartile","Non-profitable : Total Revenue, third quartile","Non-profitable : Total Revenue, fourth quartile",Non-profitable : Total expenses,"Non-profitable : Total expenses, quality indicator","Non-profitable : Total expenses, first quartile","Non-profitable : Total expenses, second quartile","Non-profitable : Total expenses, third quartile","Non-profitable : Total expenses, fourth quartile",Non-profitable : Net loss,"Non-profitable : Net loss, quality indicator","Non-profitable : Net loss, first quartile","Non-profitable : Net loss, second quartile","Non-profitable : Net loss, third quartile","Non-profitable : Net loss, fourth quartile"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,All industries,0,Canada,1,Rural,3,All businesses,2017,76.3,408.1,A,220.8,710.1,352.9,171.4,328.1,A,220.8,669,266.3,54.7,80.1,A,0,41.2,86.6,116.7,549.7,A,X,X,X,X,669,A,X,X,X,X,-119.3,A,X,X,X,X
2,0,All industries,0,Canada,2,Urban,3,All businesses,2017,81.7,389.6,A,640.2,632.3,275.1,193.8,296,A,634,573.2,179.7,44.1,93.6,A,6.3,59.1,95.4,149.7,437.9,A,X,X,X,X,537.2,A,X,X,X,X,-99.3,B,X,X,X,X
3,0,All industries,15,Altantic,1,Rural,3,All businesses,2017,80.4,397.8,A,690.5,658.4,311.6,160.5,322.6,A,686,613.7,227.6,48.5,75.2,A,4.5,44.7,83.9,112.1,470.6,A,X,X,X,X,541.2,A,X,X,X,X,-70.6,B,X,X,X,X
4,0,All industries,15,Altantic,2,Urban,3,All businesses,2017,79.9,440.4,A,569.2,753.5,346.6,196,346,A,566.4,700.3,245.7,49,94.4,A,2.8,53.2,100.9,147,468.7,A,X,X,X,X,552.6,A,X,X,X,X,-83.9,B,X,X,X,X
5,0,All industries,10,Newfoundland and Labrador,1,Rural,3,All businesses,2017,78,367.9,A,548.1,712.6,272.2,97.2,308.3,A,547.1,675.7,201.3,19,59.6,A,1,36.9,70.8,78.2,427.4,A,X,X,X,X,477.4,A,X,X,X,X,-50,B,X,X,X,X
6,0,All industries,10,Newfoundland and Labrador,2,Urban,3,All businesses,2017,74.1,470.9,A,X,X,455.6,204.4,374.7,A,X,X,350,56.8,96.2,A,X,X,105.6,147.6,500.7,A,X,X,X,X,581.6,A,X,X,X,X,-80.9,B,X,X,X,X
7,0,All industries,11,Prince Edward Island,1,Rural,3,All businesses,2017,81.2,362.5,A,727,604.8,225,167.2,283.4,A,716.8,542.3,144.9,55.4,79.1,A,10.2,62.5,80.1,111.8,686.9,A,X,X,X,X,824.4,A,X,X,X,X,-137.5,A,X,X,X,X
8,0,All industries,11,Prince Edward Island,2,Urban,3,All businesses,2017,80.7,434,A,488.9,757.7,348.3,183.4,350.2,A,486.4,703.7,258.9,57.2,83.7,A,2.5,54,89.4,126.1,448.1,A,X,X,X,X,556.6,B,X,X,X,X,-108.5,B,X,X,X,X
9,0,All industries,12,Nova Scotia,1,Rural,3,All businesses,2017,83.8,383.4,A,719,584.2,296.7,151.7,304.7,A,708.4,528.1,203.6,41,78.7,A,10.6,56.1,93.1,110.7,433.8,A,X,X,X,X,510.5,A,X,X,X,X,-76.7,B,X,X,X,X
