"Small Business Profiles : Selected profitable or non-profitable businesses items, Canada, regions and provinces/territories, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source : Statistics Canada, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note : Values are averages in current dollars ( x $1,000) unless otherwise indicated. Data includes entrprises reporting annual total revenues of $30,000 to $5,000,000, inclusively. Calculations are revenue based.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,"North American Industry Classification System, NAICS - code","North American Industry Classification System, NAICS",Geography - code,Geography,Location indicator - code,Location indicator,Incorporation status - code,Incorporation status,Reference year,Percent of profitable businesses,Profitable : Total Revenue,"Profitable : Total Revenue, quality indicator","Profitable : Total Revenue, first quartile","Profitable : Total Revenue, second quartile","Profitable : Total Revenue, third quartile","Profitable : Total Revenue, fourth quartile",Profitable : Total Expenses,"Profitable : Total Expenses, quality indicator","Profitable : Total Expenses, first quartile","Profitable : Total Expenses, second quartile","Profitable : Total Expenses, third quartile","Profitable : Total Expenses, fourth quartile",Profitable : Net Profit,"Profitable : Net Profit, quality indicator","Profitable : Net Profit, first quartile","Profitable : Net Profit, second quartile","Profitable : Net Profit, third quartile","Profitable : Net Profit, fourth quartile",Non-profitable : Total Revenue,"Non-profitable : Total Revenue, quality indicator","Non-profitable : Total Revenue, first quartile","Non-profitable : Total Revenue, second quartile","Non-profitable : Total Revenue, third quartile","Non-profitable : Total Revenue, fourth quartile",Non-profitable : Total expenses,"Non-profitable : Total expenses, quality indicator","Non-profitable : Total expenses, first quartile","Non-profitable : Total expenses, second quartile","Non-profitable : Total expenses, third quartile","Non-profitable : Total expenses, fourth quartile",Non-profitable : Net loss,"Non-profitable : Net loss, quality indicator","Non-profitable : Net loss, first quartile","Non-profitable : Net loss, second quartile","Non-profitable : Net loss, third quartile","Non-profitable : Net loss, fourth quartile"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,All industries,0,Canada,1,Rural,3,All businesses,2017,76.3,408.1,A,45.7,109.1,277.2,1340.5,328.1,A,23.9,69,201.2,1138.9,80.1,A,21.8,40.1,76,201.5,549.7,A,46.1,110.3,287,1313.6,669,A,68,145.4,346.4,1586.7,-119.3,A,-21.9,-35.2,-59.4,-273.1
2,0,All industries,0,Canada,2,Urban,3,All businesses,2017,81.7,389.6,A,42.8,91.9,231,1232.1,296,A,22.6,52.2,150.5,990.7,93.6,A,20.2,39.7,80.5,241.4,437.9,A,42.7,93.2,233.7,1208.4,537.2,A,79.4,137.5,305.5,1425.5,-99.3,B,-36.7,-44.4,-71.8,-217.1
3,0,All industries,15,Altantic,1,Rural,3,All businesses,2017,80.4,397.8,A,44.8,104.8,253.4,1248.5,322.6,A,22.1,64.7,180.2,1076.8,75.2,A,22.7,40.1,73.3,171.8,470.6,A,45.2,105.3,257.8,1230.8,541.2,A,61.8,138.3,298.8,1393,-70.6,B,-16.6,-33,-40.9,-162.3
4,0,All industries,15,Altantic,2,Urban,3,All businesses,2017,79.9,440.4,A,46.2,113.1,285.4,1350.6,346,A,24.2,67.6,189.7,1130.8,94.4,A,22,45.5,95.7,219.8,468.7,A,46.7,113.6,287.4,1298.4,552.6,A,72.3,157.1,363.5,1472.8,-83.9,B,-25.6,-43.5,-76.1,-174.4
5,0,All industries,10,Newfoundland and Labrador,1,Rural,3,All businesses,2017,78,367.9,A,40.1,76.4,190,1247.6,308.3,A,17,42.1,135.3,1112.6,59.6,A,23.1,34.3,54.7,135,427.4,A,40.8,76.9,193.7,1129.9,477.4,A,55.5,120.5,223.3,1224.7,-50,B,-14.7,-43.6,-29.6,-94.8
6,0,All industries,10,Newfoundland and Labrador,2,Urban,3,All businesses,2017,74.1,470.9,A,46.2,114.7,300.7,1471.3,374.7,A,23.6,69.7,206.7,1239.7,96.2,A,22.6,44.9,93.9,231.6,500.7,A,47.3,118.9,300.9,1400.7,581.6,A,67.6,159.6,404,1543.3,-80.9,B,-20.2,-40.7,-103.1,-142.6
7,0,All industries,11,Prince Edward Island,1,Rural,3,All businesses,2017,81.2,362.5,A,48.7,126.2,239.2,1222.2,283.4,A,24.1,79.4,151.1,1046.2,79.1,A,24.7,46.8,88.1,176,686.9,A,46.4,118.9,252.2,1394.6,824.4,A,66.9,150.7,287.6,1669,-137.5,A,-20.5,-31.8,-35.4,-274.4
8,0,All industries,11,Prince Edward Island,2,Urban,3,All businesses,2017,80.7,434,A,45.7,110.8,280.9,1320.5,350.2,A,25,68.9,200,1126.1,83.7,A,20.7,41.9,80.9,194.4,448.1,A,45.4,105.5,286.3,1266.8,556.6,B,65.5,148.7,401.1,1506.9,-108.5,B,-20.1,-43.1,-114.8,-240.1
9,0,All industries,12,Nova Scotia,1,Rural,3,All businesses,2017,83.8,383.4,A,45.9,111.2,270.2,1136.2,304.7,A,22,66.4,187.4,969.2,78.7,A,23.9,44.8,82.7,167.1,433.8,A,46,111.1,271.1,1151.3,510.5,A,63.6,150.2,322.1,1328.4,-76.7,B,-17.6,-39.1,-50.9,-177.1
