"Medium Businesses Profiles : Total revenue and selected other revenue variables,  Canada, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source : Statistics Canada, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note : Values are averages in current dollars ( x $1,000) unless otherwise indicated. Data includes entrprises reporting annual total revenues of $5,000,001 to $20,000,000, inclusively. Calculations are revenue based.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,"North American Industry Classification System, NAICS - code","North American Industry Classification System, NAICS",Geography - code,Geography,Location indicator - code,Location indicator,Incorporation status - code,Incorporation status,Reference year,Total number of businesses,"All businesses, minimum revenue value","All businesses, maximum revenue value","Businesses in first quartile, minimum value in revenue range","Businesses in first quartile, maximum value in revenue range","Businesses in second quartile, minimum value in revenue range","Businesses in second quartile, maximum value in revenue range","Businesses in third quartile, minimum value in revenue range","Businesses in third quartile, maximum value in revenue range","Businesses in fourth quartile, minimum value in revenue range","Businesses in fourth quartile, maximum value in revenue range",Total revenue,"Total revenue, quality indicator","Total revenue, first quartile","Total revenue, second quartile","Total revenue, third quartile","Total revenue, fourth quartile",Sales of goods and services,"Sales of goods and services, quality indicator","Sales of goods and services, first quartile","Sales of goods and services, second quartile","Sales of goods and services, third quartile","Sales of goods and services, fourth quartile","Sales of goods and services, percent of businesses reporting",All other revenues,"All other revenues,  quality indicator","All other revenues,  first quartile","All other revenues,  second quartile","All other revenues,  third quartile","All other revenues,  fourth quartile","All other revenues,  percent of businesses reporting",Sales of goods and services ( percent of total revenue),"Sales of goods and services ( percent of total revenue), quality indicator","Sales of goods and services ( percent of total revenue), first quartile","Sales of goods and services ( percent of total revenue), second quartile","Sales of goods and services ( percent of total revenue), third quartile","Sales of goods and services ( percent of total revenue), fourth quartile",All other revenues ( percent of total revenue),"All other revenues ( percent of total revenue), quality indicator","All other revenues ( percent of total revenue), first quartile","All other revenues ( percent of total revenue), second quartile","All other revenues ( percent of total revenue), third quartile","All other revenues ( percent of total revenue), fourth quartile"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,All industries,0,Canada,1,Rural,2,Incorporated,2018,7434,5000,20000,5000,6130,6130,8027,8027,11000,11000,20000,9255.7,A,5522.9,6973,9559.2,14967.8,8854.6,A,5271.9,6608.5,9142.7,14395.2,98.4,401.1,B,251,364.5,416.5,572.6,68.9,95.7,A,95.5,94.8,95.6,96.2,4.3,B,4.5,5.2,4.4,3.8
2,0,All industries,0,Canada,2,Urban,2,Incorporated,2018,42801,5000,20000,5000,6286,6286,8319,8319,12000,12000,20000,9519.9,A,5593.5,7217.9,9931.5,15336.6,8767.4,A,5116.6,6617.2,9121.2,14214.6,94.9,752.5,B,476.9,600.7,810.3,1121.9,55.9,92.1,A,91.5,91.7,91.8,92.7,7.9,B,8.5,8.3,8.2,7.3
3,11,"Agriculture, forestry, fishing and hunting",0,Canada,1,Rural,2,Incorporated,2018,1219,5000,20000,5000,5927,5927,7374,7374,9884,9884,20000,8438.7,B,5419.9,6582.9,8492.6,13259.4,7846.6,B,4981.6,6103.9,7801.2,12499.8,99.4,592.1,B,438.4,479,691.4,759.6,87.3,93,B,91.9,92.7,91.9,94.3,7,B,8.1,7.3,8.1,5.7
4,11,"Agriculture, forestry, fishing and hunting",0,Canada,2,Urban,2,Incorporated,2018,914,5000,20000,5000,5988,5988,7746,7746,11000,11000,20000,8913.2,A,5482.5,6788.5,9132,14249.9,8408.1,A,5188.3,6256,8657.5,13530.7,98.7,505.1,B,294.2,532.5,474.5,719.2,85.3,94.3,A,94.6,92.2,94.8,95,5.7,B,5.4,7.8,5.2,5
5,111,Crop production,0,Canada,1,Rural,2,Incorporated,2018,470,5000,20000,5000,5806,5806,7118,7118,9183,9183,20000,7968,B,5354.8,6391.9,8058.8,12066.5,7307.6,B,4863.1,5944.3,7133.9,11289.3,99.8,660.4,C,491.7,447.6,924.9,777.2,98.7,91.7,B,90.8,93,88.5,93.6,8.3,C,9.2,7,11.5,6.4
6,111,Crop production,0,Canada,2,Urban,2,Incorporated,2018,402,5000,20000,5000,5902,5902,7503,7503,11000,11000,20000,8615.3,B,5457.6,6596.5,8933.7,13473.5,8110.2,B,5232.6,6077.9,8327.3,12803.2,99.8,505.1,B,225,518.6,606.4,670.3,94.5,94.1,B,95.9,92.1,93.2,95,5.9,B,4.1,7.9,6.8,5
7,112,Animal production and aquaculture,0,Canada,1,Rural,2,Incorporated,2018,418,5000,20000,5000,5942,5942,7407,7407,9981,9981,20000,8489.7,B,5440.4,6571.6,8651.8,13294.9,7754,B,4993.9,6010.4,7929.8,12082,99.5,735.6,C,446.5,561.2,722,1212.9,93.5,91.3,B,91.8,91.5,91.7,90.9,8.7,C,8.2,8.5,8.3,9.1
8,112,Animal production and aquaculture,0,Canada,2,Urban,2,Incorporated,2018,259,5000,20000,5000,5833,5833,7294,7294,11000,11000,20000,8723.6,A,5406.4,6538.1,8579.5,14370.3,8174.8,A,5006.8,6058.6,8164.8,13469.1,98.8,548.8,B,399.6,479.5,414.7,901.2,88.8,93.7,A,92.6,92.7,95.2,93.7,6.3,B,7.4,7.3,4.8,6.3
9,113,Forestry and logging,0,Canada,1,Rural,2,Incorporated,2018,X,X,X,X,X,X,X,X,X,X,X,X,A,X,X,X,X,X,A,X,X,X,X,100,X,A,X,X,X,X,59.7,X,A,X,X,X,X,X,A,X,X,X,X
