"Medium Businesses Profiles : Balance sheet items, incoporated businesses, Canada, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source : Statistics Canada, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note : Values are averages in current dollars ( x $1,000) unless otherwise indicated. Data includes entrprises reporting annual total revenues of $5,000,001 to $20,000,000, inclusively. Calculations are revenue based.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,"North American Industry Classification System, NAICS - code","North American Industry Classification System, NAICS",Geography - code,Geography,Location indicator - code,Location indicator,Incorporation status - code,Incorporation status,Reference year,Total assets,"Total assets, quality indicator","Total assets, first quartile","Total assets, second quartile","Total assets, third quartile","Total assets, fourth quartile",Total current assets,"Total current assets, quality indicator","Total current assets, first quartile","Total current assets, second quartile","Total current assets, third quartile","Total current assets, fourth quartile",Accounts receivable,"Accounts receivable, quality indicator","Accounts receivable, first quartile","Accounts receivable, second quartile","Accounts receivable, third quartile","Accounts receivable, fourth quartile",Closing inventory,"Closing inventory, indicateur de qualité","Closing inventory, premier quartile","Closing inventory, deuxième quartile","Closing inventory, troisième quartile","Closing inventory, quatrième quartile",Other current assets,"Other current assets, quality indicator","Other current assets, first quartile","Other current assets, second quartile","Other current assets, third quartile","Other current assets, fourth quartile",Net tangible and intagible assets,"Net tangible and intagible assets, quality indicator","Net tangible and intagible assets, first quartile","Net tangible and intagible assets, second quartile","Net tangible and intagible assets, third quartile","Net tangible and intagible assets, fourth quartile",Long term assets,"Long term assets, quality indicator","Long term assets, first quartile","Long term assets, second quartile","Long term assets, third quartile","Long term assets, fourth quartile",Total liabilities,"Total liabilities, quality indicator","Total liabilities, first quartile","Total liabilities, second quartile","Total liabilities, third quartile","Total liabilities, fourth quartile",Total current liabilities,"Total current liabilities, quality indicator","Total current liabilities, first quartile","Total current liabilities, second quartile","Total current liabilities, third quartile","Total current liabilities, fourth quartile",Current bank loans,"Current bank loans, quality indicator","Current bank loans, first quartile","Current bank loans, second quartile","Current bank loans, third quartile","Current bank loans, fourth quartile",Other current liabilities,"Other current liabilities, quality indicator","Other current liabilities, first quartile","Other current liabilities, second quartile","Other current liabilities, third quartile","Other current liabilities, fourth quartile",Long term liabilities,"Long term liabilities, quality indicator","Long term liabilities, first quartile","Long term liabilities, second quartile","Long term liabilities, third quartile","Long term liabilities, fourth quartile",Total equity,"Total equity, quality indicator","Total equity, first quartile","Total equity, second quartile","Total equity, third quartile","Total equity, fourth quartile"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,All industries,0,Canada,1,Rural,2,Incorporated,2018,7093,A,4863.8,6170.6,7908.1,9429.6,3126.9,A,1890.6,2439,3414.7,4763.3,880.1,E,539.6,636.5,964.5,1379.8,1323.3,E,732.3,1015.9,1388.4,2156.7,923.5,B,618.7,786.6,1061.8,1226.8,2878.4,A,2362.7,2503.6,3253.3,3394.1,1087.7,A,610.5,1228,1240.1,1272.2,4031.8,A,2758.7,3279.7,4545.4,5543.4,2278.4,A,1380.5,1839.5,2487.6,3406.1,454.8,E,212,381.6,504.7,720.9,1823.6,C,1168.6,1457.9,1982.9,2685.1,1753.4,A,1378.1,1440.2,2057.8,2137.3,3061.2,A,2105.1,2890.9,3362.7,3886.2
2,0,All industries,0,Canada,2,Urban,2,Incorporated,2018,11749.6,A,7092.1,9278,13421.2,17206.9,4770.9,A,3054.4,3684.6,4967.1,7377.5,1282.8,E,724.1,947.5,1362.4,2097.1,1018.7,E,583.6,730,1070,1691,2469.7,B,1746.9,2007.2,2535.1,3589.7,2826.4,A,1909.5,2255.2,3183.2,3957.7,4152.3,A,2128.2,3338.2,5271,5871.6,6511.9,A,4154,4942.4,7168.4,9782.7,3255.2,A,2046.9,2524.9,3514.6,4934.3,346.1,E,207.4,251.5,391.1,534.2,2909.1,C,1839.5,2273.4,3123.5,4400.2,3256.7,A,2107.1,2417.5,3653.8,4848.4,5237.7,A,2938.1,4335.6,6252.8,7424.2
3,11,"Agriculture, forestry, fishing and hunting",0,Canada,1,Rural,2,Incorporated,2018,11101.2,A,8616.5,9142.2,12837.9,13808,3710.7,A,2596.5,2861.8,3882.8,5501.7,659.4,E,416.9,435.9,719.9,1064.8,2053,E,1536.6,1523.2,2131.2,3021.2,998.3,B,643,902.7,1031.8,1415.7,6379.9,A,5329.8,5394.8,7551.5,7243.3,1010.6,A,690.2,885.6,1403.6,1063,6583.2,A,4974.9,4837.2,7690,8830.9,3268.6,A,2273.4,2230,3924.5,4646.3,737.4,E,494.3,543,1184.1,728.3,2531.1,B,1779.1,1687,2740.4,3918,3314.7,A,2701.5,2607.2,3765.5,4184.6,4517.9,A,3641.6,4305,5147.9,4977.2
4,11,"Agriculture, forestry, fishing and hunting",0,Canada,2,Urban,2,Incorporated,2018,12628.4,A,9286.2,9858.8,11743.5,19624.9,4092.5,A,2780.6,2972.5,4310.9,6306,854.6,E,528.9,553,896.1,1440.2,1822.8,E,1333.3,1428,1516.1,3013.9,1415.1,B,918.4,991.5,1898.7,1851.9,6537.7,A,5449.5,5962.2,6158.1,8580.9,1998.2,C,1056.1,924.1,1274.5,4737.9,8399.3,A,5832.9,6045.9,7131.8,14586.6,3509.2,A,2316.7,2596.7,3171.9,5951.4,483.5,E,506.1,487,325.9,615.1,3025.6,B,1810.6,2109.6,2846,5336.3,4890.2,B,3516.2,3449.3,3959.9,8635.2,4229.1,A,3453.3,3812.9,4611.7,5038.3
5,111,Crop production,0,Canada,1,Rural,2,Incorporated,2018,12313.6,A,8944.1,11317.9,12529.3,16463,4108.4,A,2937.6,3477.8,3725.7,6292.5,770.7,E,397.2,538,672.2,1475.3,2334.1,E,1826.5,2085.6,2092.7,3331.3,1003.7,B,713.9,854.2,960.7,1485.8,7171.3,A,5187.9,6885.7,7698.2,8913.6,1033.8,A,818.7,954.4,1105.4,1256.9,6895,A,4537.1,5995.6,7484.9,9562.2,3198.3,A,2281.3,2723.5,3573,4215.3,725.4,E,603,821.9,876.7,599.8,2472.9,B,1678.3,1901.6,2696.3,3615.5,3696.7,A,2255.8,3272,3911.9,5347,5418.6,A,4407,5322.3,5044.4,6900.7
6,111,Crop production,0,Canada,2,Urban,2,Incorporated,2018,11843.4,A,9514.7,8915.3,11836.2,17107.5,3746.4,A,2694.5,2970.7,3566,5754.7,847.5,E,577.5,591.4,933.9,1287,1632.2,E,1243.4,1307.8,1472.8,2504.5,1266.8,B,873.5,1071.5,1159.2,1963.1,6877,A,5720.8,5154.5,6861.2,9771.6,1219.9,A,1099.5,790,1409,1581.2,7341.3,A,6061.4,5304.9,7413.6,10585.3,3285.6,A,2776.9,2069.3,3143.8,5152.5,482.3,E,672.3,241.9,272.6,742.4,2803.3,B,2104.6,1827.3,2871.2,4410.2,4055.7,A,3284.5,3235.6,4269.8,5432.8,4502.1,A,3453.3,3610.4,4422.5,6522.2
7,112,Animal production and aquaculture,0,Canada,1,Rural,2,Incorporated,2018,13945.1,A,11068.2,10750.8,15704.7,18256.6,4635.9,A,2958.9,2978.1,4713.6,7893,562.7,E,391,379.3,563.4,916.9,3023.8,E,1999,1952.6,2979.2,5164.6,1049.4,B,568.9,646.3,1170.9,1811.5,8018.6,A,7443.3,6632.4,8867.5,9130.9,1290.7,A,666,1140.3,2123.6,1232.7,9080.2,A,6969.9,6028.9,10495.1,12827,4669.9,A,2946,2603.6,5797.6,7332.5,1253.4,E,670.3,545.1,2371.7,1426.6,3416.5,B,2275.7,2058.5,3425.9,5905.9,4410.3,A,4023.9,3425.3,4697.5,5494.5,4864.9,A,4098.3,4721.9,5209.6,5429.6
8,112,Animal production and aquaculture,0,Canada,2,Urban,2,Incorporated,2018,16099.1,A,10754.6,15023.7,17894.7,20723.3,5393.9,A,3449.1,3332.5,7082.5,7711.6,654.8,E,459.4,361.4,848.3,950.2,3137.8,E,2030.8,2403.6,2723.6,5393.1,1601.3,B,958.9,567.5,3510.6,1368.4,9133.6,A,6085.8,10516.5,9654.9,10277.1,1571.6,A,1219.7,1174.7,1157.2,2734.6,10966.3,A,7086.8,10183.2,10833.3,15761.8,4701.1,A,2301,3890.5,4363.9,8249.1,700.3,E,562.7,764.8,700.8,773.1,4000.8,B,1738.3,3125.7,3663.1,7476,6265.1,A,4785.8,6292.7,6469.4,7512.7,5132.8,A,3667.8,4840.4,7061.3,4961.5
9,113,Forestry and logging,0,Canada,1,Rural,2,Incorporated,2018,X,A,X,X,X,X,X,A,X,X,X,X,X,E,X,X,X,X,X,E,X,X,X,X,X,B,X,X,X,X,X,A,X,X,X,X,X,A,X,X,X,X,X,A,X,X,X,X,X,A,X,X,X,X,X,E,X,X,X,X,X,C,X,X,X,X,X,A,X,X,X,X,X,A,X,X,X,X
10,113,Forestry and logging,0,Canada,2,Urban,2,Incorporated,2018,5717.5,A,3511.5,6023.2,4892.1,8443.4,1906.1,A,1668.3,1533.7,1630.2,2792.1,666,E,557.4,512.6,680.7,913.2,261.1,C,150.1,204.4,307.9,382,979,B,960.9,816.6,641.6,1496.9,3264.5,A,1637.9,4081.9,2855.7,4482.5,547,A,205.3,407.6,406.2,1168.8,3575.6,A,1749.9,4229.9,3548.6,4773.9,1913.3,A,1041.2,2610,1700.1,2301.9,378.7,E,86.1,1008.9,194.7,225.2,1534.6,C,955.2,1601.1,1505.5,2076.8,1662.3,A,708.7,1619.9,1848.5,2472,2141.9,A,1761.5,1793.2,1343.5,3669.4
11,114,"Fishing, hunting and trapping",0,Canada,1,Rural,2,Incorporated,2018,X,A,X,X,X,X,X,A,X,X,X,X,X,E,X,X,X,X,X,E,X,X,X,X,X,A,X,X,X,X,X,A,X,X,X,X,X,A,X,X,X,X,X,A,X,X,X,X,X,A,X,X,X,X,X,A,X,X,X,X,X,B,X,X,X,X,X,A,X,X,X,X,X,A,X,X,X,X
12,114,"Fishing, hunting and trapping",0,Canada,2,Urban,2,Incorporated,2018,13560.8,A,4811,7222.1,8841.2,33368.9,2703.7,A,1575,2424.9,2201,4613.7,903.7,C,378.9,907.6,1378.4,949.8,325.2,E,364.2,310.8,496.3,129.5,1474.7,A,831.9,1206.4,326.3,3534.4,4936.1,A,3221.2,4784.5,3494.6,8244.2,5921,A,14.7,12.7,3145.6,20511,9958.1,A,3986.7,3578.1,4731.3,27536.2,3784.4,A,2702.6,1524,1332.7,9578.1,112.3,C,273.7,87.7,87.7,0,3672.1,B,2428.9,1436.3,1245,9578.1,6173.7,A,1284.1,2054.1,3398.5,17958.1,3602.7,A,824.3,3644,4109.9,5832.8
13,115,Support activities for agriculture and forestry,0,Canada,1,Rural,2,Incorporated,2018,5678,A,4455.6,4682.4,6499.7,7074.4,3021.2,A,1915.4,2959.6,3101.7,4108,799.9,E,709.5,420.9,851.6,1217.4,1003.4,E,428.6,572.2,1281.9,1730.6,1218,B,777.3,1966.4,968.1,1160,2084.6,A,1849.4,1337.9,2733.9,2417.2,572.3,A,690.8,384.9,664.2,549.2,2953.5,A,2312.1,1893.8,3543.4,4064.8,1782.4,A,1314.9,1229.1,1996.5,2589.3,68.7,C,130.7,25.3,112.3,6.6,1713.7,C,1184.2,1203.8,1884.2,2582.7,1171.1,A,997.2,664.7,1547,1475.5,2724.5,A,2143.6,2788.6,2956.3,3009.6
14,115,Support activities for agriculture and forestry,0,Canada,2,Urban,2,Incorporated,2018,15561.3,C,6644.6,5181.2,5751.9,44667.6,5099.1,B,2685.9,3190.4,3683.4,10836.7,1584.6,E,696.8,1031.1,672,3938.4,1468.2,E,610.5,569.6,934.9,3757.7,2046.4,B,1378.7,1589.7,2076.5,3140.6,3242.6,A,2120.7,990.6,1532.8,8326.3,7219.6,E,1838,1000.2,535.7,25504.6,11889.6,C,2670.3,2298,3020.1,39569.9,3399.9,A,1078.7,1421.6,2022.1,9077.2,141,E,127,113.2,3.3,320.4,3258.9,C,951.6,1308.5,2018.8,8756.8,8489.7,E,1591.7,876.4,998,30492.7,3671.7,A,3974.3,2883.2,2731.8,5097.7
15,21,"Mining, quarrying, and oil and gas extraction",0,Canada,1,Rural,2,Incorporated,2018,8544,A,4851.5,6069,10089.5,13166.1,3189.5,A,2017.1,2652.4,3514.5,4573.9,1648.6,E,915.7,1295,1740.1,2643.8,455,E,262.9,250.1,446.6,860.5,1085.8,B,838.5,1107.2,1327.7,1069.7,4555.2,A,2422.5,2732.1,5307.1,7759.3,799.3,A,411.9,684.5,1267.9,832.9,4887.9,A,2382.1,4317.9,5285.2,7566.4,2571.1,A,1251.9,2372,2363.2,4297.1,367.3,E,146.3,78.7,162.1,1082.2,2203.8,C,1105.6,2293.3,2201.2,3214.9,2316.8,A,1130.2,1945.9,2922,3269.2,3656.1,A,2469.4,1751.2,4804.3,5599.7
