"Small Business Profiles : Selected profitable or non-profitable businesses items, Canada, regions and provinces/territories, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source : Statistics Canada, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note : Values are averages in current dollars ( x $1,000) unless otherwise indicated. Data includes entrprises reporting annual total revenues of $30,000 to $5,000,000, inclusively. Calculations are profit margin based.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,"North American Industry Classification System, NAICS - code","North American Industry Classification System, NAICS",Geography - code,Geography,Location indicator - code,Location indicator,Incorporation status - code,Incorporation status,Reference year,Percent of profitable businesses,Profitable : Total Revenue,"Profitable : Total Revenue, quality indicator","Profitable : Total Revenue, first quartile","Profitable : Total Revenue, second quartile","Profitable : Total Revenue, third quartile","Profitable : Total Revenue, fourth quartile",Profitable : Total Expenses,"Profitable : Total Expenses, quality indicator","Profitable : Total Expenses, first quartile","Profitable : Total Expenses, second quartile","Profitable : Total Expenses, third quartile","Profitable : Total Expenses, fourth quartile",Profitable : Net Profit,"Profitable : Net Profit, quality indicator","Profitable : Net Profit, first quartile","Profitable : Net Profit, second quartile","Profitable : Net Profit, third quartile","Profitable : Net Profit, fourth quartile",Non-profitable : Total Revenue,"Non-profitable : Total Revenue, quality indicator","Non-profitable : Total Revenue, first quartile","Non-profitable : Total Revenue, second quartile","Non-profitable : Total Revenue, third quartile","Non-profitable : Total Revenue, fourth quartile",Non-profitable : Total expenses,"Non-profitable : Total expenses, quality indicator","Non-profitable : Total expenses, first quartile","Non-profitable : Total expenses, second quartile","Non-profitable : Total expenses, third quartile","Non-profitable : Total expenses, fourth quartile",Non-profitable : Net loss,"Non-profitable : Net loss, quality indicator","Non-profitable : Net loss, first quartile","Non-profitable : Net loss, second quartile","Non-profitable : Net loss, third quartile","Non-profitable : Net loss, fourth quartile"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,All industries,0,Canada,1,Rural,3,All businesses,2018,76.1,408.4,A,224.2,704.3,358.7,170.6,328,A,224.2,663.7,271.1,53.9,80.4,A,0,40.6,87.5,116.7,555.6,A,X,X,X,X,682.1,A,X,X,X,X,-126.5,B,X,X,X,X
2,0,All industries,0,Canada,2,Urban,3,All businesses,2018,81.8,389.8,A,633.8,626.7,279,197.4,295.5,A,627.3,567.9,183.4,45.2,94.3,A,6.5,58.8,95.6,152.2,435.3,A,X,X,X,X,540.3,A,X,X,X,X,-105,B,X,X,X,X
3,0,All industries,15,Altantic,1,Rural,3,All businesses,2018,79.3,392.4,A,679.2,668.2,309.9,149.1,320.9,A,676.1,626,229.8,45.2,71.4,A,3.1,42.2,80,103.9,471.5,A,X,X,X,X,543.5,A,X,X,X,X,-72,B,X,X,X,X
4,0,All industries,15,Altantic,2,Urban,3,All businesses,2018,79.6,440.4,A,598.1,746.9,344.4,200.8,345.3,A,595.3,694.8,244.9,49.9,95.1,A,2.8,52.1,99.5,150.8,481.8,A,X,X,X,X,582.2,A,X,X,X,X,-100.4,B,X,X,X,X
5,0,All industries,10,Newfoundland and Labrador,1,Rural,3,All businesses,2018,76.9,361.5,A,507.9,711.9,266.8,94.8,304.2,B,507.5,679.3,199.5,18.5,57.3,A,0.4,32.6,67.3,76.3,434.4,A,X,X,X,X,489.8,A,X,X,X,X,-55.4,A,X,X,X,X
6,0,All industries,10,Newfoundland and Labrador,2,Urban,3,All businesses,2018,74,462.9,A,X,X,465.9,197.9,373,B,X,X,368.1,56.4,89.9,A,X,X,97.8,141.5,497.5,A,X,X,X,X,587.3,A,X,X,X,X,-89.8,B,X,X,X,X
7,0,All industries,11,Prince Edward Island,1,Rural,3,All businesses,2018,81.2,339.2,A,826.5,532.6,212.6,151.9,271.4,A,815.4,480,145.7,53.9,67.8,A,11.1,52.6,66.9,98,644.6,A,X,X,X,X,771.5,A,X,X,X,X,-126.9,B,X,X,X,X
8,0,All industries,11,Prince Edward Island,2,Urban,3,All businesses,2018,77.8,437.7,A,340.3,772.7,346.1,205.3,347.9,A,340,722,261.4,61.3,89.8,A,0.3,50.7,84.7,144,464.2,A,X,X,X,X,545.1,A,X,X,X,X,-80.9,B,X,X,X,X
9,0,All industries,12,Nova Scotia,1,Rural,3,All businesses,2018,82.9,382.5,A,712.4,593.6,294.9,155,304,A,703.2,538,205.9,42.2,78.5,B,9.2,55.6,89,112.9,455,A,X,X,X,X,530.7,A,X,X,X,X,-75.7,B,X,X,X,X
10,0,All industries,12,Nova Scotia,2,Urban,3,All businesses,2018,82.6,418.3,A,667.2,696.3,288.7,193.8,319.6,A,658.6,628.9,186,40.1,98.8,A,8.7,67.4,102.7,153.7,480.9,A,X,X,X,X,613.4,A,X,X,X,X,-132.6,B,X,X,X,X
11,0,All industries,13,New Brunswick,1,Rural,3,All businesses,2018,76.5,446.5,A,237.2,743.4,403,205.5,371.9,A,237.2,712.8,326.5,84.4,74.6,A,0,30.6,76.5,121.1,478.6,A,X,X,X,X,548.7,A,X,X,X,X,-70.1,A,X,X,X,X
12,0,All industries,13,New Brunswick,2,Urban,3,All businesses,2018,79.3,460.2,A,648,752,378.1,218,366,A,645,705.9,281,62.8,94.2,A,3,46.1,97.1,155.2,475.7,A,X,X,X,X,552.5,A,X,X,X,X,-76.8,B,X,X,X,X
13,0,All industries,24,Québec,1,Rural,3,All businesses,2018,76.6,419.4,A,184.7,726.2,379,168.1,343.8,A,184.7,689.5,297.8,54.4,75.6,A,0,36.7,81.2,113.8,496.6,A,X,X,X,X,591.1,A,X,X,X,X,-94.6,A,X,X,X,X
