"Small Business Profiles : Selected profitable or non-profitable businesses items, Canada, regions and provinces/territories, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source : Statistics Canada, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note : Values are averages in current dollars ( x $1,000) unless otherwise indicated. Data includes entrprises reporting annual total revenues of $30,000 to $5,000,000, inclusively. Calculations are revenue based.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,"North American Industry Classification System, NAICS - code","North American Industry Classification System, NAICS",Geography - code,Geography,Location indicator - code,Location indicator,Incorporation status - code,Incorporation status,Reference year,Percent of profitable businesses,Profitable : Total Revenue,"Profitable : Total Revenue, quality indicator","Profitable : Total Revenue, first quartile","Profitable : Total Revenue, second quartile","Profitable : Total Revenue, third quartile","Profitable : Total Revenue, fourth quartile",Profitable : Total Expenses,"Profitable : Total Expenses, quality indicator","Profitable : Total Expenses, first quartile","Profitable : Total Expenses, second quartile","Profitable : Total Expenses, third quartile","Profitable : Total Expenses, fourth quartile",Profitable : Net Profit,"Profitable : Net Profit, quality indicator","Profitable : Net Profit, first quartile","Profitable : Net Profit, second quartile","Profitable : Net Profit, third quartile","Profitable : Net Profit, fourth quartile",Non-profitable : Total Revenue,"Non-profitable : Total Revenue, quality indicator","Non-profitable : Total Revenue, first quartile","Non-profitable : Total Revenue, second quartile","Non-profitable : Total Revenue, third quartile","Non-profitable : Total Revenue, fourth quartile",Non-profitable : Total expenses,"Non-profitable : Total expenses, quality indicator","Non-profitable : Total expenses, first quartile","Non-profitable : Total expenses, second quartile","Non-profitable : Total expenses, third quartile","Non-profitable : Total expenses, fourth quartile",Non-profitable : Net loss,"Non-profitable : Net loss, quality indicator","Non-profitable : Net loss, first quartile","Non-profitable : Net loss, second quartile","Non-profitable : Net loss, third quartile","Non-profitable : Net loss, fourth quartile"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,All industries,0,Canada,1,Rural,3,All businesses,2019,75.6,405.5,A,320.1,698.3,351,168.9,324.4,A,320.1,657.5,263.6,52.3,81,A,0,40.9,87.4,116.6,570.8,B,X,X,X,X,703.9,A,X,X,X,X,-133.1,B,X,X,X,X
2,0,All industries,0,Canada,2,Urban,3,All businesses,2019,81.4,383.2,A,634.9,618.6,273,194.1,289.2,A,628.7,559.5,177.6,44.2,94.1,A,6.2,59.1,95.4,149.9,442.6,B,X,X,X,X,553.8,B,X,X,X,X,-111.2,B,X,X,X,X
3,0,All industries,15,Altantic,1,Rural,3,All businesses,2019,79.1,398,A,654,682.9,316,153,322.3,A,651.2,638.4,230.9,43.7,75.7,B,2.8,44.6,85.2,109.4,486.1,B,X,X,X,X,559.2,B,X,X,X,X,-73.1,B,X,X,X,X
4,0,All industries,15,Altantic,2,Urban,3,All businesses,2019,79.8,440.6,A,620.3,757.3,335.9,194,344.4,B,617,701,233.8,46.1,96.1,A,3.3,56.2,102.1,147.9,492.4,B,X,X,X,X,592.8,B,X,X,X,X,-100.4,B,X,X,X,X
5,0,All industries,10,Newfoundland and Labrador,1,Rural,3,All businesses,2019,76.5,358.1,B,403.1,700.5,277.6,93.3,297.1,B,403,665.8,203.1,15.8,61,B,0.1,34.7,74.5,77.6,428.9,B,X,X,X,X,485.6,B,X,X,X,X,-56.7,B,X,X,X,X
6,0,All industries,10,Newfoundland and Labrador,2,Urban,3,All businesses,2019,74.3,464.5,B,X,X,450.2,193,373.5,B,X,X,349.9,54.8,91,B,X,X,100.3,138.2,498.2,B,X,X,X,X,571.7,B,X,X,X,X,-73.4,B,X,X,X,X
7,0,All industries,11,Prince Edward Island,1,Rural,3,All businesses,2019,80.2,362,A,688.8,604.2,255.4,158.6,286.5,A,682.7,549.6,174.9,52.9,75.5,B,6,54.6,80.5,105.7,667.6,A,X,X,X,X,798.2,A,X,X,X,X,-130.6,A,X,X,X,X
8,0,All industries,11,Prince Edward Island,2,Urban,3,All businesses,2019,78,451.3,A,471.2,805.8,356.9,188.7,363.2,A,470.4,750.3,268.2,58.2,88,A,0.8,55.5,88.7,130.4,445,B,X,X,X,X,523.3,B,X,X,X,X,-78.4,B,X,X,X,X
9,0,All industries,12,Nova Scotia,1,Rural,3,All businesses,2019,82.5,387.7,A,736.3,607.8,294.4,155.9,305.8,A,726.3,550,201.6,39.1,81.9,B,9.9,57.8,92.8,116.8,473,B,X,X,X,X,550.2,B,X,X,X,X,-77.2,B,X,X,X,X
