,"North American Industry Classification System, NAICS - code","North American Industry Classification System, NAICS",Reference year,Total number of businesses,Average revenue,Average expenses,Net Profit/Loss,Sales of goods and services ( percent of total revenue),Gross margin (%),Cost of sales (direct expenses) (%),Operating expenses (indirect expenses) (%),Business type,Total revenue,Total expenses
2,11,"Agriculture, forestry, fishing and hunting",2017.0,49243.0,645.7,707.0,-61.3,,95.4,4.6,104.9,Small Business,31796205.1,34814801.0
101,21,"Mining, quarrying, and oil and gas extraction",2017.0,5477.0,396.3,349.7,46.6,,82.1,17.9,70.4,Small Business,2170535.1,1915306.9
200,22,Utilities,2017.0,459.0,561.9,489.0,72.9,,69.2,30.8,56.3,Small Business,257912.09999999998,224451.0
299,23,Construction,2017.0,47606.0,429.5,383.9,45.5,,48.1,51.9,37.5,Small Business,20446777.0,18275943.4
398,31-33,Manufacturing,2017.0,10319.0,641.1,600.6,40.5,,40.7,59.3,34.4,Small Business,6615510.9,6197591.4
497,41,Wholesale trade,2017.0,6915.0,778.2,731.6,46.6,,38.5,61.5,32.5,Small Business,5381253.0,5059014.0
596,44-45,Retail trade,2017.0,23255.0,832.5,796.9,35.6,,29.6,70.4,25.4,Small Business,19359787.5,18531909.5
695,48-49,Transportation and warehousing,2017.0,22066.0,417.1,365.8,51.3,,83.0,17.0,70.7,Small Business,9203728.6,8071742.8
794,51,Information and cultural industries,2017.0,1971.0,302.4,258.8,43.6,,72.1,27.9,57.7,Small Business,596030.3999999999,510094.80000000005
893,53,Real estate and rental and leasing,2017.0,34075.0,176.3,132.6,43.7,,91.8,8.2,67.0,Small Business,6007422.5,4518345.0
992,54,"Professional, scientific and technical services",2017.0,22932.0,237.7,167.9,69.8,,84.8,15.2,55.4,Small Business,5450936.399999999,3850282.8000000003
1091,55,Management of companies and enterprises,2017.0,1531.0,520.6,228.8,291.8,,96.8,3.2,40.7,Small Business,797038.6,350292.8
1190,56,"Administrative and support, waste management and remediation services",2017.0,11954.0,305.0,251.5,53.5,,72.8,27.2,55.3,Small Business,3645970.0,3006431.0
