"Medium Businesses Profiles : Total revenue and selected other revenue variables,  Canada, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source : Statistics Canada, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note : Values are averages in current dollars ( x $1,000) unless otherwise indicated. Data includes entrprises reporting annual total revenues of $5,000,001 to $20,000,000, inclusively. Calculations are revenue based.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,"North American Industry Classification System, NAICS - code","North American Industry Classification System, NAICS",Geography - code,Geography,Location indicator - code,Location indicator,Incorporation status - code,Incorporation status,Reference year,Total number of businesses,"All businesses, minimum revenue value","All businesses, maximum revenue value","Businesses in first quartile, minimum value in revenue range","Businesses in first quartile, maximum value in revenue range","Businesses in second quartile, minimum value in revenue range","Businesses in second quartile, maximum value in revenue range","Businesses in third quartile, minimum value in revenue range","Businesses in third quartile, maximum value in revenue range","Businesses in fourth quartile, minimum value in revenue range","Businesses in fourth quartile, maximum value in revenue range",Total revenue,"Total revenue, quality indicator","Total revenue, first quartile","Total revenue, second quartile","Total revenue, third quartile","Total revenue, fourth quartile",Sales of goods and services,"Sales of goods and services, quality indicator","Sales of goods and services, first quartile","Sales of goods and services, second quartile","Sales of goods and services, third quartile","Sales of goods and services, fourth quartile","Sales of goods and services, percent of businesses reporting",All other revenues,"All other revenues,  quality indicator","All other revenues,  first quartile","All other revenues,  second quartile","All other revenues,  third quartile","All other revenues,  fourth quartile","All other revenues,  percent of businesses reporting",Sales of goods and services ( percent of total revenue),"Sales of goods and services ( percent of total revenue), quality indicator","Sales of goods and services ( percent of total revenue), first quartile","Sales of goods and services ( percent of total revenue), second quartile","Sales of goods and services ( percent of total revenue), third quartile","Sales of goods and services ( percent of total revenue), fourth quartile",All other revenues ( percent of total revenue),"All other revenues ( percent of total revenue), quality indicator","All other revenues ( percent of total revenue), first quartile","All other revenues ( percent of total revenue), second quartile","All other revenues ( percent of total revenue), third quartile","All other revenues ( percent of total revenue), fourth quartile"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,All industries,0,Canada,1,Rural,2,Incorporated,2017,6901,5000,20000,5000,6159,6159,8018,8018,12000,12000,20000,9259.4,A,5541.9,7005.8,9575.4,14914.3,8844.9,A,5283.8,6669.2,9173.5,14253.2,98.3,414.4,B,258.1,336.6,402,661.1,70,95.5,A,95.3,95.2,95.8,95.6,4.5,B,4.7,4.8,4.2,4.4
2,0,All industries,0,Canada,2,Urban,2,Incorporated,2017,40390,5000,20000,5000,6269,6269,8282,8282,12000,12000,20000,9499.6,A,5593,7184.4,9899.4,15321.6,8751.6,A,5119.2,6577.1,9079,14231,95,748,B,473.8,607.3,820.4,1090.6,56.5,92.1,A,91.5,91.5,91.7,92.9,7.9,B,8.5,8.5,8.3,7.1
3,11,"Agriculture, forestry, fishing and hunting",0,Canada,1,Rural,2,Incorporated,2017,1108,5000,20000,5000,5921,5921,7446,7446,10000,10000,20000,8615.9,B,5433.8,6591.2,8708.3,13730.1,8009.8,B,5108.4,6132.8,7997.1,12801,99.4,606,B,325.4,458.4,711.2,929.2,87.6,93,B,94,93,91.8,93.2,7,B,6,7,8.2,6.8
4,11,"Agriculture, forestry, fishing and hunting",0,Canada,2,Urban,2,Incorporated,2017,835,5000,20000,5000,6056,6056,7541,7541,11000,11000,20000,8840.2,A,5464.5,6761.5,8964.4,14170.4,8323.6,A,5162.7,6431.4,8363,13337.2,98.6,516.6,B,301.8,330.1,601.4,833.1,84.1,94.2,A,94.5,95.1,93.3,94.1,5.8,B,5.5,4.9,6.7,5.9
5,111,Crop production,0,Canada,1,Rural,2,Incorporated,2017,428,5000,20000,5000,5735,5735,7058,7058,9682,9682,20000,8132.5,B,5355.1,6320.2,8226.7,12627.9,7309.2,B,4922.8,5769.6,7429.3,11115.2,99.1,823.2,B,432.3,550.6,797.4,1512.6,97.4,89.9,B,91.9,91.3,90.3,88,10.1,B,8.1,8.7,9.7,12
6,111,Crop production,0,Canada,2,Urban,2,Incorporated,2017,377,5000,20000,5000,5937,5937,7344,7344,10000,10000,20000,8660,B,5424.2,6657.1,8773.6,13785.2,8158.7,B,5084.6,6331.3,8350.3,12868.8,99.7,501.3,B,339.5,325.8,423.3,916.4,93.9,94.2,B,93.7,95.1,95.2,93.4,5.8,B,6.3,4.9,4.8,6.6
7,112,Animal production and aquaculture,0,Canada,1,Rural,2,Incorporated,2017,377,5000,20000,5000,6039,6039,7787,7787,10000,10000,20000,8801.3,B,5538.3,6762.6,9011.4,13892.8,8149,B,5188.1,6341.1,8144.9,12922,100,652.3,C,350.2,421.5,866.6,970.7,94.4,92.6,B,93.7,93.8,90.4,93,7.4,C,6.3,6.2,9.6,7
8,112,Animal production and aquaculture,0,Canada,2,Urban,2,Incorporated,2017,224,5000,20000,5000,5944,5944,7241,7241,10000,10000,20000,8622,A,5416.2,6541.8,8500.1,14030.1,8077.7,A,5220.8,6313.3,7721.2,13055.4,99.1,544.4,B,195.4,228.5,778.9,974.7,93.3,93.7,A,96.4,96.5,90.8,93.1,6.3,B,3.6,3.5,9.2,6.9
9,113,Forestry and logging,0,Canada,1,Rural,2,Incorporated,2017,X,X,X,X,X,X,X,X,X,X,X,X,A,X,X,X,X,X,A,X,X,X,X,100,X,A,X,X,X,X,63.3,X,A,X,X,X,X,X,A,X,X,X,X
