"Medium Businesses Profiles : Balance sheet items, incoporated businesses, Canada, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source : Statistics Canada, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note : Values are averages in current dollars ( x $1,000) unless otherwise indicated. Data includes entrprises reporting annual total revenues of $5,000,001 to $20,000,000, inclusively. Calculations are revenue based.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,"North American Industry Classification System, NAICS - code","North American Industry Classification System, NAICS",Geography - code,Geography,Location indicator - code,Location indicator,Incorporation status - code,Incorporation status,Reference year,Total assets,"Total assets, quality indicator","Total assets, first quartile","Total assets, second quartile","Total assets, third quartile","Total assets, fourth quartile",Total current assets,"Total current assets, quality indicator","Total current assets, first quartile","Total current assets, second quartile","Total current assets, third quartile","Total current assets, fourth quartile",Accounts receivable,"Accounts receivable, quality indicator","Accounts receivable, first quartile","Accounts receivable, second quartile","Accounts receivable, third quartile","Accounts receivable, fourth quartile",Closing inventory,"Closing inventory, indicateur de qualité","Closing inventory, premier quartile","Closing inventory, deuxième quartile","Closing inventory, troisième quartile","Closing inventory, quatrième quartile",Other current assets,"Other current assets, quality indicator","Other current assets, first quartile","Other current assets, second quartile","Other current assets, third quartile","Other current assets, fourth quartile",Net tangible and intagible assets,"Net tangible and intagible assets, quality indicator","Net tangible and intagible assets, first quartile","Net tangible and intagible assets, second quartile","Net tangible and intagible assets, third quartile","Net tangible and intagible assets, fourth quartile",Long term assets,"Long term assets, quality indicator","Long term assets, first quartile","Long term assets, second quartile","Long term assets, third quartile","Long term assets, fourth quartile",Total liabilities,"Total liabilities, quality indicator","Total liabilities, first quartile","Total liabilities, second quartile","Total liabilities, third quartile","Total liabilities, fourth quartile",Total current liabilities,"Total current liabilities, quality indicator","Total current liabilities, first quartile","Total current liabilities, second quartile","Total current liabilities, third quartile","Total current liabilities, fourth quartile",Current bank loans,"Current bank loans, quality indicator","Current bank loans, first quartile","Current bank loans, second quartile","Current bank loans, third quartile","Current bank loans, fourth quartile",Other current liabilities,"Other current liabilities, quality indicator","Other current liabilities, first quartile","Other current liabilities, second quartile","Other current liabilities, third quartile","Other current liabilities, fourth quartile",Long term liabilities,"Long term liabilities, quality indicator","Long term liabilities, first quartile","Long term liabilities, second quartile","Long term liabilities, third quartile","Long term liabilities, fourth quartile",Total equity,"Total equity, quality indicator","Total equity, first quartile","Total equity, second quartile","Total equity, third quartile","Total equity, fourth quartile"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,All industries,0,Canada,1,Rural,2,Incorporated,2017,7255.4,A,5248.7,6088,7536.2,10148.6,3181.8,A,1967.2,2444.2,3396.4,4919.6,880.6,E,537.8,698.7,920.6,1365.4,1332.3,E,761.2,976.7,1398.9,2192.4,968.9,B,668.1,768.9,1076.8,1361.8,2840.6,A,2426.4,2642.2,3030.8,3262.9,1233,A,855.1,1001.6,1109.1,1966,4064.8,A,2762.4,3383.3,4402.1,5711.5,2293.4,A,1391.2,1786.5,2477.8,3518,424,E,201.6,325.8,440.1,728.5,1869.3,C,1189.6,1460.7,2037.6,2789.4,1771.4,A,1371.1,1596.9,1924.3,2193.5,3190.6,A,2486.3,2704.6,3134.2,4437.1
2,0,All industries,0,Canada,2,Urban,2,Incorporated,2017,11645.7,A,6705.6,10349.7,11771,17756.5,4610.8,A,2871.9,3720.2,4634.3,7216.8,1298.2,E,715.3,1035.5,1392,2050.1,1022.3,E,568.8,777.5,1040.8,1702,2290.4,B,1587.8,1907.2,2201.6,3465.1,3080.5,A,1829.2,3564.9,2946,3981.9,3954.4,A,2004.5,3064.6,4190.6,6557.8,6135.9,A,3771.7,5294.6,6397.2,9080.1,3111,A,1911.7,2435.5,3230.2,4866.6,327.7,E,168.9,239.1,339.8,563.2,2783.3,C,1742.8,2196.4,2890.4,4303.4,3024.9,A,1860,2859.1,3167,4213.6,5509.8,A,2933.9,5055.1,5373.8,8676.4
3,11,"Agriculture, forestry, fishing and hunting",0,Canada,1,Rural,2,Incorporated,2017,10822.2,A,9147.6,9808,10665.5,13667.9,3764.2,A,2773,2955,3765.3,5563.7,685.5,E,484.3,533.6,606.5,1117.8,2080.3,E,1486.4,1651.9,1992.1,3190.7,998.4,B,802.3,769.5,1166.7,1255.2,6075.1,A,5644.5,5749.2,5990.7,6916,982.9,A,730.2,1103.8,909.5,1188.2,6337.5,A,4989.1,5759,6301.2,8300.8,3141.1,A,2248.8,2496.9,3260.5,4558.2,647,E,448.1,637.9,741.6,760.4,2494.1,B,1800.6,1859.1,2518.9,3797.8,3196.4,A,2740.4,3262,3040.6,3742.6,4484.7,A,4158.5,4049,4364.4,5367.1
4,11,"Agriculture, forestry, fishing and hunting",0,Canada,2,Urban,2,Incorporated,2017,11223.4,A,8800.5,9289.4,10414.8,16388.8,3685.3,A,2589.3,2793.7,3494,5864,796.1,E,551.6,564.1,824.2,1244.3,1672.4,E,1266,1373.8,1508.1,2541.9,1216.7,B,771.8,855.8,1161.6,2077.8,6158,A,5175.3,5562.6,5738,8155.9,1380.2,A,1035.8,933.1,1182.8,2368.9,7437.1,A,5622.4,6143.7,6362.7,11619.6,3570.2,A,2369.2,2588.8,2945.9,6377,441.8,E,313.8,432.6,332.8,688,3128.4,B,2055.4,2156.2,2613.1,5689,3866.9,A,3253.2,3554.9,3416.8,5242.6,3786.3,A,3178.1,3145.7,4052.2,4769.2
5,111,Crop production,0,Canada,1,Rural,2,Incorporated,2017,12045.7,A,10703.8,10334.1,12740.5,14404.6,4228.1,A,3681.4,3142.4,4368.2,5720.3,837.9,E,622.8,677.8,718.5,1332.4,2304.5,E,2038.5,1674.2,2552.1,2953.1,1085.7,B,1020.1,790.4,1097.5,1434.8,6806.3,A,6154.4,6203.4,7163.1,7704.2,1011.4,B,868,988.2,1209.2,980.1,6595.3,A,5862.5,5418.8,6963,8136.9,3110.9,A,2592.9,2608.7,3151.8,4090.3,578,E,624.9,643.1,485,559.1,2532.9,B,1968,1965.6,2666.8,3531.2,3484.4,A,3269.6,2810.2,3811.2,4046.6,5450.4,B,4841.3,4915.3,5777.5,6267.7
6,111,Crop production,0,Canada,2,Urban,2,Incorporated,2017,11526.2,A,8736.5,9052.6,12146.4,16169.4,3766.6,A,2800.9,2542.4,3837,5886.2,824.9,E,681.4,523.1,865.7,1229.4,1621.9,E,1313.4,1157.2,1615.2,2401.7,1319.8,B,806.1,862.1,1356.1,2255.1,6509,A,5305.5,5231.1,6951,8548.4,1250.6,A,630.1,1279.1,1358.5,1734.7,7266.7,A,5546.6,6210.7,7169.5,10140,3265.5,A,2186.1,2524.2,2762.1,5589.6,398.2,C,217.3,187.2,405.9,782.5,2867.2,B,1968.8,2337,2356.2,4807.1,4001.2,A,3360.5,3686.5,4407.4,4550.4,4259.5,A,3189.9,2841.9,4976.9,6029.4
7,112,Animal production and aquaculture,0,Canada,1,Rural,2,Incorporated,2017,13637.2,A,10826.1,12077.7,12848.9,18796.2,4689.7,A,2875.6,3427,4542.6,7913.6,579.8,E,322.2,412.4,649.6,935.1,3154.8,E,1888.2,2216.5,2695.3,5819.1,955.1,B,665.2,798.2,1197.7,1159.4,7617.2,A,7148.4,6942.1,7222.2,9156,1330.3,A,802.1,1708.6,1084.2,1726.5,8716.7,A,6406.5,7680.5,8224.1,12555.8,4406.8,A,2690.1,3289.9,4289.6,7357.5,1177.3,E,620.1,994,1658.3,1436.9,3229.4,B,2069.9,2295.9,2631.3,5920.6,4310,A,3716.5,4390.6,3934.5,5198.3,4920.5,A,4419.6,4397.2,4624.8,6240.4
8,112,Animal production and aquaculture,0,Canada,2,Urban,2,Incorporated,2017,15295.4,A,12722.6,13511.3,11495.2,23452.4,4661.9,A,3088.3,3982.9,3883.8,7692.4,715,E,416.4,506.6,765.7,1171.5,2983.4,E,1914.5,2710.3,2290.1,5018.6,963.5,B,757.5,766.1,828,1502.3,8980.6,A,7728.3,8937.5,6928.8,12327.6,1653,A,1905.9,590.9,682.6,3432.4,10445.5,A,8850.5,8924.8,6732.5,17274,4741.5,A,3534.7,3640.3,2777.5,9013.5,710,E,561.8,618.1,587.7,1072.4,4031.5,B,2973,3022.2,2189.8,7941,5704,A,5315.8,5284.5,3955.1,8260.5,4849.9,A,3872.1,4586.6,4762.7,6178.4
9,113,Forestry and logging,0,Canada,1,Rural,2,Incorporated,2017,X,A,X,X,X,X,X,A,X,X,X,X,X,E,X,X,X,X,X,E,X,X,X,X,X,B,X,X,X,X,X,A,X,X,X,X,X,A,X,X,X,X,X,A,X,X,X,X,X,A,X,X,X,X,X,E,X,X,X,X,X,C,X,X,X,X,X,A,X,X,X,X,X,A,X,X,X,X
