"Small Business Profiles : Total revenue and selected other revenue variables,  Canada, regions and provinces/territories, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source : Statistics Canada, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note : Values are averages in current dollars ( x $1,000) unless otherwise indicated. Data includes entrprises reporting annual total revenues of $30,000 to $5,000,000, inclusively. Calculations are revenue based.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* : Available for incorporated businesses only. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,"North American Industry Classification System, NAICS - code","North American Industry Classification System, NAICS",Geography - code,Geography,Location indicator - code,Location indicator,Incorporation status - code,Incorporation status,Reference year,Total number of businesses,"All businesses, minimum revenue value","All businesses, maximum revenue value","Businesses in first quartile, minimum value in revenue range","Businesses in first quartile, maximum value in revenue range","Businesses in second quartile, minimum value in revenue range","Businesses in second quartile, maximum value in revenue range","Businesses in third quartile, minimum value in revenue range","Businesses in third quartile, maximum value in revenue range","Businesses in fourth quartile, minimum value in revenue range","Businesses in fourth quartile, maximum value in revenue range",Total revenue,"Total revenue, quality indicator","Total revenue, first quartile","Total revenue, second quartile","Total revenue, third quartile","Total revenue, fourth quartile",Sales of goods and services*,"Sales of goods and services* , quality indicator","Sales of goods and services* , first quartile","Sales of goods and services* , second quartile","Sales of goods and services* , third quartile","Sales of goods and services* , fourth quartile","Sales of goods and services*  , percent of businesses reporting",All other revenues*,"All other revenues* , quality indicator","All other revenues* , first quartile","All other revenues* , second quartile","All other revenues* , third quartile","All other revenues* , fourth quartile","All other revenues* , percent of businesses reporting",Sales of goods and services* ( percent of total revenue),"Sales of goods and services* ( percent of total revenue), quality indicator","Sales of goods and services* ( percent of total revenue), first quartile","Sales of goods and services* ( percent of total revenue), second quartile","Sales of goods and services* ( percent of total revenue), third quartile","Sales of goods and services* ( percent of total revenue), fourth quartile",All other revenues* ( percent of total revenue),"All other revenues* ( percent of total revenue), quality indicator","All other revenues* ( percent of total revenue), first quartile","All other revenues* ( percent of total revenue), second quartile","All other revenues* ( percent of total revenue), third quartile","All other revenues* ( percent of total revenue), fourth quartile"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,All industries,0,Canada,1,Rural,1,Unincorporated,2017,112086,30,5000,30,44,44,71,71,142,142,5000,130.5,A,36.4,55.5,99.5,330.7,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
2,0,All industries,0,Canada,1,Rural,2,Incorporated,2017,193262,30,5000,30,124,124,294,294,737,737,5000,622.1,A,72.6,198.4,475.3,1741.9,575.8,A,55.7,173.6,433.6,1640.5,91.6,46.2,B,17,24.8,41.8,101.4,53.6,92.6,A,76.6,87.5,91.2,94.2,7.4,B,23.4,12.5,8.8,5.8
3,0,All industries,0,Canada,1,Rural,3,All businesses,2017,305348,30,5000,30,67,67,166,166,460,460,5000,441.6,A,45.8,109.4,279.5,1331.9,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
4,0,All industries,0,Canada,2,Urban,1,Unincorporated,2017,596808,30,5000,30,41,41,62,62,115,115,5000,115.4,A,35.2,50.5,83.3,292.8,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
5,0,All industries,0,Canada,2,Urban,2,Incorporated,2017,1002456,30,5000,30,107,107,245,245,636,636,5000,566.9,A,65,166.9,402.6,1632.9,502,A,51,140.3,349.4,1467.3,87.7,64.9,B,14.1,26.7,53.2,165.6,41.1,88.6,A,78.4,84,86.8,89.9,11.4,B,21.6,16,13.2,10.1
6,0,All industries,0,Canada,2,Urban,3,All businesses,2017,1599264,30,5000,30,60,60,137,137,385,385,5000,398.4,A,42.8,92.1,231.6,1227.2,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
7,0,All industries,15,Altantic,1,Rural,1,Unincorporated,2017,17112,30,5000,30,46,46,81,81,160,160,5000,134.5,A,37.2,60.9,114.3,325.7,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
8,0,All industries,15,Altantic,1,Rural,2,Incorporated,2017,20348,30,5000,30,131,131,316,316,739,739,5000,645.5,A,74.4,215.5,484.3,1807.8,607.3,A,57.4,189.2,452.1,1730.5,91.9,38.2,B,17.1,26.3,32.2,77.4,44.6,94.1,A,77.1,87.8,93.3,95.7,5.9,B,22.9,12.2,6.7,4.3
9,0,All industries,15,Altantic,1,Rural,3,All businesses,2017,37460,30,5000,30,66,66,157,157,399,399,5000,412.1,A,44.9,104.9,254.3,1244.3,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
10,0,All industries,15,Altantic,2,Urban,1,Unincorporated,2017,19314,30,5000,30,43,43,69,69,136,136,5000,122.2,A,36,54.4,97,301.2,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
11,0,All industries,15,Altantic,2,Urban,2,Incorporated,2017,36953,30,5000,30,126,126,296,296,706,706,5000,615.4,A,73.7,201.7,463.7,1722.6,550.9,A,55.2,166.3,409.8,1572.3,87.4,64.5,B,18.5,35.3,53.9,150.3,43,89.5,A,74.9,82.5,88.4,91.3,10.5,B,25.1,17.5,11.6,8.7
12,0,All industries,15,Altantic,2,Urban,3,All businesses,2017,56267,30,5000,30,69,69,171,171,462,462,5000,446.1,A,46.3,113.2,285.8,1339.1,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
13,0,All industries,10,Newfoundland and Labrador,1,Rural,1,Unincorporated,2017,4675,30,5000,30,42,42,63,63,108,108,5000,108.8,A,35.4,51.5,82.1,266.3,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
14,0,All industries,10,Newfoundland and Labrador,1,Rural,2,Incorporated,2017,4407,30,5000,30,115,115,301,301,805,805,5000,669.7,A,68,195,502.6,1913.1,630.9,A,52.6,168,468.8,1834.1,91.1,38.8,B,15.4,27.1,33.7,79,38.1,94.2,A,77.3,86.1,93.3,95.9,5.8,B,22.7,13.9,6.7,4.1
