"Small Business Profiles : Total revenue and selected other revenue variables,  Canada, regions and provinces/territories, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source : Statistics Canada, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note : Values are averages in current dollars ( x $1,000) unless otherwise indicated. Data includes entrprises reporting annual total revenues of $30,000 to $5,000,000, inclusively. Calculations are revenue based.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* : Available for incorporated businesses only. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,"North American Industry Classification System, NAICS - code","North American Industry Classification System, NAICS",Geography - code,Geography,Location indicator - code,Location indicator,Incorporation status - code,Incorporation status,Reference year,Total number of businesses,"All businesses, minimum revenue value","All businesses, maximum revenue value","Businesses in first quartile, minimum value in revenue range","Businesses in first quartile, maximum value in revenue range","Businesses in second quartile, minimum value in revenue range","Businesses in second quartile, maximum value in revenue range","Businesses in third quartile, minimum value in revenue range","Businesses in third quartile, maximum value in revenue range","Businesses in fourth quartile, minimum value in revenue range","Businesses in fourth quartile, maximum value in revenue range",Total revenue,"Total revenue, quality indicator","Total revenue, first quartile","Total revenue, second quartile","Total revenue, third quartile","Total revenue, fourth quartile",Sales of goods and services*,"Sales of goods and services* , quality indicator","Sales of goods and services* , first quartile","Sales of goods and services* , second quartile","Sales of goods and services* , third quartile","Sales of goods and services* , fourth quartile","Sales of goods and services*  , percent of businesses reporting",All other revenues*,"All other revenues* , quality indicator","All other revenues* , first quartile","All other revenues* , second quartile","All other revenues* , third quartile","All other revenues* , fourth quartile","All other revenues* , percent of businesses reporting",Sales of goods and services* ( percent of total revenue),"Sales of goods and services* ( percent of total revenue), quality indicator","Sales of goods and services* ( percent of total revenue), first quartile","Sales of goods and services* ( percent of total revenue), second quartile","Sales of goods and services* ( percent of total revenue), third quartile","Sales of goods and services* ( percent of total revenue), fourth quartile",All other revenues* ( percent of total revenue),"All other revenues* ( percent of total revenue), quality indicator","All other revenues* ( percent of total revenue), first quartile","All other revenues* ( percent of total revenue), second quartile","All other revenues* ( percent of total revenue), third quartile","All other revenues* ( percent of total revenue), fourth quartile"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,All industries,0,Canada,1,Rural,1,Unincorporated,2018,113031,30,5000,30,44,44,71,71,142,142,5000,130.2,A,36.5,55.8,99.6,329.1,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
2,0,All industries,0,Canada,1,Rural,2,Incorporated,2018,197002,30,5000,30,124,124,295,295,742,742,5000,623.2,A,72.5,199.2,476.6,1744.6,575.4,A,54.6,173.2,433.7,1640.1,91.1,47.8,B,17.8,26,42.9,104.5,53.7,92.3,A,75.4,87,91,94,7.7,B,24.6,13,9,6
3,0,All industries,0,Canada,1,Rural,3,All businesses,2018,310033,30,5000,30,68,68,167,167,463,463,5000,443.5,A,45.9,109.9,281.4,1336.7,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
4,0,All industries,0,Canada,2,Urban,1,Unincorporated,2018,615659,30,5000,30,41,41,61,61,113,113,5000,113.3,A,35,50,81.9,286.4,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
5,0,All industries,0,Canada,2,Urban,2,Incorporated,2018,1049886,30,5000,30,106,106,243,243,631,631,5000,565.1,A,64.9,165.8,398.6,1631,49.3,A,50.4,138.7,344,1459.9,87.2,66.8,B,14.5,27.1,54.6,171,41.2,88.2,A,77.6,83.6,86.3,89.5,11.8,B,22.4,16.4,13.7,10.5
6,0,All industries,0,Canada,2,Urban,3,All businesses,2018,1665545,30,5000,30,60,60,136,136,383,383,5000,398.1,A,42.7,91.7,230.6,1227.5,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
7,0,All industries,15,Altantic,1,Rural,1,Unincorporated,2018,17190,30,5000,30,46,46,79,79,158,158,5000,133.5,A,37.3,60.4,112.5,323.6,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
8,0,All industries,15,Altantic,1,Rural,2,Incorporated,2018,20529,30,5000,30,130,130,313,313,738,738,5000,639.2,A,74.1,213.2,482.8,1786.6,601,B,57.2,187.2,450,1709.5,91.7,38.2,B,16.8,26,32.8,77.1,44.6,94,B,77.3,87.8,93.2,95.7,6,B,22.7,12.2,6.8,4.3
9,0,All industries,15,Altantic,1,Rural,3,All businesses,2018,37719,30,5000,30,65,65,156,156,400,400,5000,408.7,A,44.9,103.8,252.3,1233.8,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
