"Small Business Profiles : Selected profitable or non-profitable businesses items, Canada, regions and provinces/territories, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source : Statistics Canada, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note : Values are averages in current dollars ( x $1,000) unless otherwise indicated. Data includes entrprises reporting annual total revenues of $30,000 to $5,000,000, inclusively. Calculations are revenue based.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,"North American Industry Classification System, NAICS - code","North American Industry Classification System, NAICS",Geography - code,Geography,Location indicator - code,Location indicator,Incorporation status - code,Incorporation status,Reference year,Percent of profitable businesses,Profitable : Total Revenue,"Profitable : Total Revenue, quality indicator","Profitable : Total Revenue, first quartile","Profitable : Total Revenue, second quartile","Profitable : Total Revenue, third quartile","Profitable : Total Revenue, fourth quartile",Profitable : Total Expenses,"Profitable : Total Expenses, quality indicator","Profitable : Total Expenses, first quartile","Profitable : Total Expenses, second quartile","Profitable : Total Expenses, third quartile","Profitable : Total Expenses, fourth quartile",Profitable : Net Profit,"Profitable : Net Profit, quality indicator","Profitable : Net Profit, first quartile","Profitable : Net Profit, second quartile","Profitable : Net Profit, third quartile","Profitable : Net Profit, fourth quartile",Non-profitable : Total Revenue,"Non-profitable : Total Revenue, quality indicator","Non-profitable : Total Revenue, first quartile","Non-profitable : Total Revenue, second quartile","Non-profitable : Total Revenue, third quartile","Non-profitable : Total Revenue, fourth quartile",Non-profitable : Total expenses,"Non-profitable : Total expenses, quality indicator","Non-profitable : Total expenses, first quartile","Non-profitable : Total expenses, second quartile","Non-profitable : Total expenses, third quartile","Non-profitable : Total expenses, fourth quartile",Non-profitable : Net loss,"Non-profitable : Net loss, quality indicator","Non-profitable : Net loss, first quartile","Non-profitable : Net loss, second quartile","Non-profitable : Net loss, third quartile","Non-profitable : Net loss, fourth quartile"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,All industries,0,Canada,1,Rural,3,All businesses,2018,76.1,408.4,A,45.9,109.7,279.3,1344.2,328,A,24,69.3,203.2,1141.3,80.4,A,21.9,40.4,76.1,202.9,555.6,A,46,110.6,288.4,1321.1,682.1,A,67.9,147,358.3,1605.4,-126.5,B,-21.9,-36.3,-69.9,-284.2
2,0,All industries,0,Canada,2,Urban,3,All businesses,2018,81.8,389.8,A,42.7,91.5,230.1,1229.4,295.5,A,22.8,51.9,150.3,984.9,94.3,A,19.9,39.5,79.7,244.6,435.3,A,42.5,92.6,232.6,1219.8,540.3,A,75.4,137.4,303,1463.9,-105,B,-32.9,-44.8,-70.4,-244.2
3,0,All industries,15,Altantic,1,Rural,3,All businesses,2018,79.3,392.4,A,44.8,104,251.8,1232.3,320.9,A,21.6,64.8,182.2,1071.5,71.4,A,23.2,39.2,69.6,160.8,471.5,A,45.5,103,254.1,1238.4,543.5,A,62.4,130.9,306.3,1400,-72,B,-16.9,-28,-52.2,-161.6
4,0,All industries,15,Altantic,2,Urban,3,All businesses,2018,79.6,440.4,A,46.1,112,286.2,1356.8,345.3,A,24.2,66.3,191.4,1132.5,95.1,A,21.9,45.7,94.7,224.3,481.8,A,46.3,112.1,286.7,1330.8,582.2,A,72,179,365.5,1539.4,-100.4,B,-25.7,-66.8,-78.8,-208.7
5,0,All industries,10,Newfoundland and Labrador,1,Rural,3,All businesses,2018,76.9,361.5,A,39.8,75.1,188.9,1235.6,304.2,B,16.8,41.1,133.9,1109.6,57.3,A,23.1,34,55,126,434.4,A,40.8,77.1,189.8,1141.9,489.8,A,57,96.1,244.9,1244.8,-55.4,A,-16.3,-19,-55.1,-102.8
6,0,All industries,10,Newfoundland and Labrador,2,Urban,3,All businesses,2018,74,462.9,A,46,113.9,296.8,1449.4,373,B,24.2,68.4,209.4,1236.4,89.9,A,21.8,45.4,87.4,213,497.5,A,45.7,118.1,293.4,1384.2,587.3,A,66.1,154.4,427.9,1534.1,-89.8,B,-20.3,-36.3,-134.5,-150
7,0,All industries,11,Prince Edward Island,1,Rural,3,All businesses,2018,81.2,339.2,A,47.4,118.4,223.4,1132.1,271.4,A,23.9,79.2,147.9,983.6,67.8,A,23.4,39.2,75.5,148.5,644.6,A,46.5,119.4,233.7,1328.6,771.5,A,64.6,166.5,258.8,1582.1,-126.9,B,-18.1,-47,-25.1,-253.5
8,0,All industries,11,Prince Edward Island,2,Urban,3,All businesses,2018,77.8,437.7,A,46,109.5,275.2,1337.5,347.9,A,24.8,67.1,195.8,1117.9,89.8,A,21.3,42.4,79.4,219.6,464.2,A,45.1,105.3,275.8,1369.1,545.1,A,78.7,135.2,337.2,1560.8,-80.9,B,-33.5,-29.9,-61.5,-191.7
9,0,All industries,12,Nova Scotia,1,Rural,3,All businesses,2018,82.9,382.5,A,46.5,110.9,270.1,1136.4,304,A,21.9,67.3,189.5,966.6,78.5,B,24.5,43.6,80.6,169.8,455,A,47.1,107.2,267.8,1220.9,530.7,A,63.7,139,316.8,1402.1,-75.7,B,-16.5,-31.8,-49,-181.2
10,0,All industries,12,Nova Scotia,2,Urban,3,All businesses,2018,82.6,418.3,A,45.2,108.1,272.6,1297.7,319.6,A,23.2,60.7,168.1,1068.7,98.8,A,22,47.4,104.4,229,480.9,A,45.8,108.3,272.8,1263.5,613.4,A,78.9,214.2,342.7,1538.9,-132.6,B,-33.1,-106,-69.9,-275.4
11,0,All industries,13,New Brunswick,1,Rural,3,All businesses,2018,76.5,446.5,A,48.8,124.4,283.8,1376.8,371.9,A,27.6,85.9,216.5,1200.1,74.6,A,21.2,38.4,67.2,176.6,478.6,A,50.5,122,295.5,1301.8,548.7,A,76.1,149.3,343.2,1465.3,-70.1,A,-25.6,-27.2,-47.7,-163.4
12,0,All industries,13,New Brunswick,2,Urban,3,All businesses,2018,79.3,460.2,A,47.5,117.1,302.7,1388.1,366,A,25.2,73.4,217.2,1160.2,94.2,A,22.2,43.6,85.4,227.9,475.7,A,48.2,117,307.7,1374.8,552.5,A,90.5,150.9,360,1548.4,-76.8,B,-42.3,-33.9,-52.3,-173.6
13,0,All industries,24,Québec,1,Rural,3,All businesses,2018,76.6,419.4,A,44.4,104.3,280.5,1350.9,343.8,A,24.2,69.2,208.5,1162.3,75.6,A,20.2,35.1,72,188.6,496.6,A,44.4,104.5,288.6,1239.1,591.1,A,63.8,135.2,339.8,1463.7,-94.6,A,-19.4,-30.7,-51.3,-224.6
14,0,All industries,24,Québec,2,Urban,3,All businesses,2018,83,386.5,A,40.9,83.1,223.5,1230.2,296.9,A,21.9,46.5,143.4,1001.4,89.6,A,19,36.6,80.1,228.8,427.6,A,40.2,85.1,226.9,1205.6,516.9,A,65,119.6,284.7,1420.6,-89.3,B,-24.8,-34.5,-57.8,-215
15,0,All industries,35,Ontario,1,Rural,3,All businesses,2018,78.5,414.4,A,45.4,105.1,273.4,1345.1,336.1,A,25,66.4,201,1148.6,78.3,A,20.4,38.7,72.3,196.5,539.1,A,44.9,106.6,278.8,1325.8,651.7,A,63.5,134.5,333.9,1595.6,-112.6,A,-18.6,-27.9,-55.1,-269.8
16,0,All industries,35,Ontario,2,Urban,3,All businesses,2018,81.7,381.1,A,42.2,88.3,217.5,1204,291.1,A,23.4,51.7,145.6,966,90,A,18.9,36.6,71.9,238,411.7,A,42.2,89.3,220.5,1174.3,507.1,A,70.1,131,279.6,1405.7,-95.4,B,-27.9,-41.7,-59.1,-231.4
17,0,All industries,49,Prairies,1,Rural,3,All businesses,2018,70.3,411.1,A,49.4,128,314.5,1440,321.9,A,24.5,81.2,227.6,1197.8,89.2,A,24.9,46.8,87,242.2,654.4,B,50.2,128.8,333.8,1430.5,836.3,A,81.1,170.9,448,1802.9,-181.9,B,-30.9,-42.1,-114.2,-372.4
18,0,All industries,49,Prairies,2,Urban,3,All businesses,2018,79.4,399.1,A,45.9,105.1,252.4,1253.6,295.8,A,23.6,59.2,160.4,989,103.2,A,22.3,45.9,92,264.6,486,A,46.1,105.5,254.3,1294.8,597.3,A,89.1,143.2,331.2,1542.1,-111.4,B,-43.1,-37.8,-76.8,-247.3
19,0,All industries,46,Manitoba,1,Rural,3,All businesses,2018,71.2,410.6,A,45.4,114.2,326.4,1562.8,338.6,A,22.8,72.7,253.4,1366.3,72,A,22.7,41.5,73,196.4,757.1,A,45.6,116.9,355.4,1527.1,932.9,A,68.1,150.5,453.2,1865.6,-175.8,A,-22.5,-33.6,-97.8,-338.5
20,0,All industries,46,Manitoba,2,Urban,3,All businesses,2018,81.5,423.9,A,45.3,104.2,272.2,1348.8,329.4,A,22,60.6,184.7,1112.3,94.6,A,23.3,43.6,87.5,236.5,533.7,A,45.6,106.8,273.7,1373.3,615.8,A,70.5,136.9,333.3,1547.8,-82,B,-25,-30.1,-59.6,-174.5
21,0,All industries,47,Saskatchewan,1,Rural,3,All businesses,2018,65,396.7,A,48.7,133.6,369.4,1540.8,311.4,A,21.4,83.6,276.9,1295.8,85.3,A,27.3,50,92.5,245,739,B,49.9,138.7,405.2,1465.7,973.7,A,80.2,195.5,550.9,1908.8,-234.7,B,-30.3,-56.8,-145.7,-443
22,0,All industries,47,Saskatchewan,2,Urban,3,All businesses,2018,79.5,416.1,A,45.7,108.9,284.4,1347.5,308.2,A,22.3,59.2,181.6,1068.1,107.9,A,23.4,49.7,102.8,279.5,571.6,A,45.3,111,291.1,1360.3,704.7,A,78.4,153.3,364.3,1650.3,-133.1,B,-33,-42.3,-73.2,-290
23,0,All industries,48,Alberta,1,Rural,3,All businesses,2018,72.4,417.1,A,51.3,129.7,290.4,1348.9,321.3,A,26.8,82.4,203.9,1098.6,95.8,A,24.5,47.3,86.5,250.3,574.6,A,51.6,129.4,300.8,1402.2,728.4,A,84.5,168.1,411.5,1741.2,-153.8,B,-32.9,-38.7,-110.8,-339
24,0,All industries,48,Alberta,2,Urban,3,All businesses,2018,79,391.3,A,46,104.7,244.3,1218.6,287.3,A,24.2,59.1,152.9,951.5,104,A,21.9,45.6,91.3,267.1,463.7,A,46.3,104.6,245.7,1267.9,576.2,A,93.2,143,324.2,1521.4,-112.5,B,-46.9,-38.4,-78.5,-253.5
25,0,All industries,59,British Columbia,1,Rural,3,All businesses,2018,83,377.5,A,44.5,94.8,228.3,1163.7,295.5,A,23.2,54.9,156.8,965,82.1,A,21.2,39.8,71.6,198.8,413.4,A,43.7,95.9,227.9,1181.5,483.5,A,66.9,139.9,273.5,1338.1,-70.1,B,-23.2,-44,-45.6,-156.6
26,0,All industries,59,British Columbia,2,Urban,3,All businesses,2018,83.2,394.5,A,43,93.3,232.7,1234.9,293.6,A,21.6,49.9,150.8,972.8,100.9,A,21.5,43.4,82,262.1,430.5,A,42.7,94.5,234.7,1222.4,572.8,A,87.6,167.2,333.6,1545.5,-142.3,B,-44.8,-72.7,-99,-323.1
