Geography,Location indicator - code,Location indicator,Incorporation status,Reference year,Net Profit/Loss,Labour and commissions,Percent of profitable businesses,Labour force characteristics,Sex,Age group,unemployment_rate,Total number of businesses,Current ratio (times),Debt to equity ratio (times),Debt ratio (times),Current debt to equity (%),Total equity
Newfoundland and Labrador,0,Rural,All businesses,2017,35.5,80.9,78,Unemployment rate,Both sexes,15 years and over,23.4,9082,1.8,1.3,0.6,47.9,376
Prince Edward Island,0,Rural,All businesses,2017,38.4,70.4,81.2,Unemployment rate,Both sexes,15 years and over,14.1,3589,1.4,1.3,0.6,55.6,496.8
Nova Scotia,0,Rural,All businesses,2017,53.5,74.2,83.8,Unemployment rate,Both sexes,15 years and over,9.4,13626,1.6,1.3,0.6,50.7,311.9
New Brunswick,0,Rural,All businesses,2017,49.7,80.6,77.9,Unemployment rate,Both sexes,15 years and over,10.9,11163,1.6,1.2,0.5,45.5,382.5
Québec,0,Rural,All businesses,2017,35.5,62.8,77.2,Unemployment rate,Both sexes,15 years and over,6.3,75358,1.3,1.3,0.6,45.8,418.8
Ontario,0,Rural,All businesses,2017,37.2,63.7,78.2,Unemployment rate,Both sexes,15 years and over,5.1,64260,1.5,1.4,0.6,51.3,483.7
Manitoba,0,Rural,All businesses,2017,12.4,68.8,72.8,Unemployment rate,Both sexes,15 years and over,4.1,15648,2.2,1,0.5,31.9,720.8
Saskatchewan,0,Rural,All businesses,2017,-15.8,56.2,66.4,Unemployment rate,Both sexes,15 years and over,5.4,24395,2.6,0.8,0.4,27.3,859.4
Alberta,0,Rural,All businesses,2017,30,76.1,71.9,Unemployment rate,Both sexes,15 years and over,6.9,53743,1.6,1.1,0.5,45.5,516.4
British Columbia,0,Rural,All businesses,2017,54.3,65.1,82.4,Unemployment rate,Both sexes,15 years and over,5.7,33010,1.6,1.5,0.6,58.9,331
Newfoundland and Labrador,0,Rural,All businesses,2018,31.3,82.6,76.9,Unemployment rate,Both sexes,15 years and over,20.7,9305,1.6,1.3,0.6,49.4,408.6
Prince Edward Island,0,Rural,All businesses,2018,31.2,67.5,81.2,Unemployment rate,Both sexes,15 years and over,13.1,3082,1.7,1.2,0.5,43.6,507.9
Nova Scotia,0,Rural,All businesses,2018,52.1,74.7,82.9,Unemployment rate,Both sexes,15 years and over,8.2,14022,1.6,1.2,0.5,45,362.9
New Brunswick,0,Rural,All businesses,2018,40.6,81.1,76.5,Unemployment rate,Both sexes,15 years and over,10.6,11310,1.6,1.2,0.6,47.8,389.6
Québec,0,Rural,All businesses,2018,35.8,63.5,76.6,Unemployment rate,Both sexes,15 years and over,5.5,77295,1.3,1.3,0.6,45.4,425.6
Ontario,0,Rural,All businesses,2018,37.3,64.4,78.5,Unemployment rate,Both sexes,15 years and over,5.4,65646,1.5,1.4,0.6,50.3,502.4
Manitoba,0,Rural,All businesses,2018,0.7,68.5,71.2,Unemployment rate,Both sexes,15 years and over,5.3,15871,2.1,1,0.5,33.1,744.5
Saskatchewan,0,Rural,All businesses,2018,-26.8,55.6,65,Unemployment rate,Both sexes,15 years and over,5.1,24098,2.5,0.8,0.4,28.6,880.8
Alberta,0,Rural,All businesses,2018,26.9,77,72.4,Unemployment rate,Both sexes,15 years and over,5.7,53650,1.1,1.4,0.6,83.2,629.4
British Columbia,0,Rural,All businesses,2018,56.1,65.9,83,Unemployment rate,Both sexes,15 years and over,5.5,34268,1.6,1.5,0.6,56.2,339.4
Newfoundland and Labrador,0,Rural,All businesses,2019,33.4,84.4,76.5,Unemployment rate,Both sexes,15 years and over,17.7,9356,1.6,1.4,0.6,50.7,422.3
Prince Edward Island,0,Rural,All businesses,2019,34.6,70.6,80.2,Unemployment rate,Both sexes,15 years and over,11.5,3407,1.6,1.2,0.5,42.8,578.2
Nova Scotia,0,Rural,All businesses,2019,54.1,76.7,82.5,Unemployment rate,Both sexes,15 years and over,8.2,14301,1.6,1.3,0.6,49.4,352.4
New Brunswick,0,Rural,All businesses,2019,44.9,82.8,76.6,Unemployment rate,Both sexes,15 years and over,11,11327,1.6,1.2,0.5,47.1,407.8
Québec,0,Rural,All businesses,2019,38,64.7,77.2,Unemployment rate,Both sexes,15 years and over,5.5,78956,1.3,1.3,0.6,46,441.7
Ontario,0,Rural,All businesses,2019,37,64.6,77.9,Unemployment rate,Both sexes,15 years and over,4.5,66376,1.6,1.3,0.6,48.4,514.9
Manitoba,0,Rural,All businesses,2019,-17.4,69.5,69.2,Unemployment rate,Both sexes,15 years and over,5.1,15779,2.1,1,0.5,33.2,774
Saskatchewan,0,Rural,All businesses,2019,-35.2,56,63.7,Unemployment rate,Both sexes,15 years and over,4.5,24145,2.3,0.8,0.5,30.2,897.5
Alberta,0,Rural,All businesses,2019,20.6,77.4,70.9,Unemployment rate,Both sexes,15 years and over,5.9,52748,1.6,1.1,0.5,45,553.8
British Columbia,0,Rural,All businesses,2019,50.4,66.9,81.6,Unemployment rate,Both sexes,15 years and over,5.2,34622,1.6,1.3,0.6,52.3,372.5
